topic,rank,term,weight
Earnings forecasts,1,adjust earn,138.98493078645612
Earnings forecasts,2,analyst earn,124.07204972749776
Earnings forecasts,3,analyst poll,120.08626282724146
Earnings forecasts,4,forecast earn,114.1251966591746
Earnings forecasts,5,earn forecast,107.906740575408
Earnings forecasts,6,earningspershare,107.01766312363044
Earnings forecasts,7,earn expectation,104.32851258070008
Earnings forecasts,8,beat expectation,102.15229516385486
Earnings forecasts,9,earn guidance,102.0991093781426
Earnings forecasts,10,earn estimate,101.59685576699503
Small changes,1,typical require,154.08810585778508
Small changes,2,average yield,135.79065402672143
Small changes,3,decline slight,115.54956527031597
Small changes,4,decrease,104.77666507230086
Small changes,5,slight increase,101.92101836651295
Small changes,6,remain unchanged,99.54086430951033
Small changes,7,remain flat,82.60173818667076
Small changes,8,sharp increase,81.76375414063216
Small changes,9,part reflect,79.7523735499263
Small changes,10,slight decline,74.43590966175256
Clintons,1,lewinsky,182.85254003950007
Clintons,2,whitewater,182.73116071412915
Clintons,3,rodham clinton,178.86932949920111
Clintons,4,hillary rodham,178.80997589055622
Clintons,5,rodham,178.205486652279
Clintons,6,clinton administration,176.60464168807965
Clintons,7,president clinton,176.20462306322918
Clintons,8,independent counsel,161.24131691243747
Clintons,9,impeachment,159.83656314161237
Clintons,10,janet reno,151.2809183904594
US Senate,1,majority leader,95.26154981117924
US Senate,2,senate bill,95.03322610152328
US Senate,3,daschle,94.99801194349207
US Senate,4,house bill,94.77915888195612
US Senate,5,hastert,94.55563273586944
US Senate,6,senate majority,94.46524038675793
US Senate,7,appropriations committee,94.4409907823376
US Senate,8,senate floor,94.13278004808409
US Senate,9,senate version,94.11663816241648
US Senate,10,gop leadership,93.97855768725027
Major concerns,1,raise concern,91.7340626210012
Major concerns,2,major concern,61.27923845787514
Major concerns,3,express concern,55.10921978459743
Major concerns,4,concern,41.92400665310855
Major concerns,5,increase concern,41.01511718485807
Major concerns,6,voice concern,37.63851418061355
Major concerns,7,concern raise,28.46901731448604
Major concerns,8,cit,27.57961281707813
Major concerns,9,held,25.838969595689345
Major concerns,10,addition,24.273624400936733
