topic,rank,term,weight
Mexico,1,mexican,232.03650409014907
Mexico,2,salinas,229.91895255858148
Mexico,3,mexican government,228.90297277324527
Mexico,4,grupo,213.76375093133169
Mexico,5,mexico,209.71813526433465
Mexico,6,mexico city,193.9723193882553
Mexico,7,ernesto,179.44526775212205
Mexico,8,lopez,178.1815776454049
Mexico,9,mexican peso,159.18559998595018
Mexico,10,telefonos,152.11824023652517
Tobacco,1,tobacco,244.3948883109225
Tobacco,2,smokers,244.2405364815759
Tobacco,3,tobacco company,244.17319108431732
Tobacco,4,cigarette,244.093795405114
Tobacco,5,philip morris,243.96721013196236
Tobacco,6,nicotine,243.929690755534
Tobacco,7,tobacco industry,243.04294047726532
Tobacco,8,morris,242.93390206368343
Tobacco,9,cigarette maker,242.8420687075809
Tobacco,10,reynolds tobacco,242.3879786410381
Unions,1,uaw,184.58008061705715
Unions,2,teamsters,183.98919776388507
Unions,3,relation board,181.68201752723408
Unions,4,union member,181.3652611808387
Unions,5,national labor,181.3114046399945
Unions,6,labor relation,181.11378639406604
Unions,7,picket line,181.040106777848
Unions,8,worker union,180.808978745228
Unions,9,union leader,180.70964600228683
Unions,10,nonunion,180.1052391512263
Earnings,1,cent dilute,123.27234885413608
Earnings,2,dilute share,123.0376200906288
Earnings,3,share revenue,121.75492842828815
Earnings,4,share relate,119.12132193206014
Earnings,5,callthomson financial,117.72366503846018
Earnings,6,cent share,117.57664963433552
Earnings,7,callthomson,117.21935105238974
Earnings,8,call consensus,115.22908747743556
Earnings,9,pershare figure,115.1512223240147
Earnings,10,thomson financialfirst,112.45650553664188
Financial crisis,1,stress test,163.42931250288677
Financial crisis,2,relief program,152.7349495786873
Financial crisis,3,large financial,146.46217588163097
Financial crisis,4,trouble asset,144.13679934213891
Financial crisis,5,financial system,142.933521979183
Financial crisis,6,creditdefault swap,141.28730116247098
Financial crisis,7,financial regulator,141.19668881604642
Financial crisis,8,creditdefault,139.97118218858722
Financial crisis,9,financial firm,138.20378491308378
Financial crisis,10,financial crisis,137.65850823752487
