name,block,var,lag,group,SP500,FEDFUNDS,PAYEMS,INDPRO
const,const,const,0,0,0.01693694503581977,-0.011278811565192974,0.019601106623731667,0.01589830973796411
SP500_L1,y,SP500,1,0,0.3186153900530146,-0.060140709517437885,0.042743773871834735,0.026894280949242202
FEDFUNDS_L1,y,FEDFUNDS,1,0,-0.03197849835440305,0.4247658597736329,0.022409007567382316,0.006938334708646968
PAYEMS_L1,y,PAYEMS,1,0,0.05023709130222184,0.034447278541234146,0.22602457828500222,0.06361509169876464
INDPRO_L1,y,INDPRO,1,0,0.039653114983909964,0.021666327214870794,0.07041639183802487,0.2593378381729932
SP500_L2,y,SP500,2,0,0.2241544039777308,-0.05619378007798205,0.038903670950353256,0.024120201823471087
FEDFUNDS_L2,y,FEDFUNDS,2,0,-8.621855091762258e-05,0.2779323433786145,0.004888262646424186,-0.00771643051942126
PAYEMS_L2,y,PAYEMS,2,0,0.04654753003901801,0.029697518626453888,0.22746501397711064,0.05797525087658745
INDPRO_L2,y,INDPRO,2,0,0.024207198072203086,0.008783855775062056,0.0728549004267474,0.24027541252077317
SP500_L3,y,SP500,3,0,0.19427257705137163,-0.055587712355962056,0.0401758079306922,0.027985227806345235
FEDFUNDS_L3,y,FEDFUNDS,3,0,0.017203924027009602,0.1962942163584349,-0.01597489946786343,-0.02379611402835143
PAYEMS_L3,y,PAYEMS,3,0,0.04418539238564418,0.025870007930684915,0.22904246860439287,0.053322980610958935
INDPRO_L3,y,INDPRO,3,0,0.007596404332611824,-0.0013238645470170015,0.07764357296308695,0.22556991524736486
Natural disasters_L1,x,Natural disasters,1,1,-0.0,0.0,-0.0,0.0
Natural disasters_L2,x,Natural disasters,2,1,0.0,0.0,-0.0,0.0
Natural disasters_L3,x,Natural disasters,3,1,-0.0,0.0,-0.0,0.0
Internet_L1,x,Internet,1,2,0.01152180681472371,0.005844720568731887,-0.007656023670447508,0.003089545024783307
Internet_L2,x,Internet,2,2,0.007012669275738935,0.00686717504882878,-0.007571124744453165,0.0022291094827078376
Internet_L3,x,Internet,3,2,0.00462512731976056,0.006722940172424648,-0.0074783816636383475,0.0016790120284727048
Soft drinks_L1,x,Soft drinks,1,3,0.0,0.0,-0.0,0.0
Soft drinks_L2,x,Soft drinks,2,3,0.0,0.0,-0.0,0.0
Soft drinks_L3,x,Soft drinks,3,3,0.0,0.0,-0.0,0.0
Mobile devices_L1,x,Mobile devices,1,4,0.0,-0.0,-0.0,0.0
Mobile devices_L2,x,Mobile devices,2,4,0.0,-0.0,-0.0,0.0
Mobile devices_L3,x,Mobile devices,3,4,0.0,-0.0,-0.0,0.0
Profits_L1,x,Profits,1,5,0.0,0.0,-0.0,0.0
Profits_L2,x,Profits,2,5,-0.0,-0.0,0.0,0.0
Profits_L3,x,Profits,3,5,0.0,-0.0,0.0,0.0
M&A_L1,x,M&A,1,6,0.00016838926542673446,0.0001691385378973389,4.282604536084336e-06,3.75383735868052e-05
M&A_L2,x,M&A,2,6,0.00013100439806569366,0.00020709329764044077,1.9381733328494323e-05,-8.665750339417441e-06
M&A_L3,x,M&A,3,6,0.00010116040677828564,0.0002279855390584698,9.106614726378894e-06,-2.5585017947003313e-05
Changes_L1,x,Changes,1,7,0.0,-0.0,0.0,0.0
Changes_L2,x,Changes,2,7,0.0,-0.0,0.0,0.0
Changes_L3,x,Changes,3,7,0.0,-0.0,0.0,-0.0
Police/crime_L1,x,Police/crime,1,8,0.0,0.0,0.0,-0.0
Police/crime_L2,x,Police/crime,2,8,0.0,0.0,0.0,-0.0
Police/crime_L3,x,Police/crime,3,8,0.0,0.0,0.0,-0.0
Research_L1,x,Research,1,9,-0.0,-0.0,0.0,-0.0
Research_L2,x,Research,2,9,0.0,-0.0,0.0,0.0
Research_L3,x,Research,3,9,0.0,-0.0,0.0,-0.0
Executive pay_L1,x,Executive pay,1,10,0.0,0.0,0.0,0.0
Executive pay_L2,x,Executive pay,2,10,0.0,0.0,0.0,0.0
Executive pay_L3,x,Executive pay,3,10,-0.0,-0.0,0.0,0.0
Mid-size cities_L1,x,Mid-size cities,1,11,0.0,0.0,-0.0,-0.0
Mid-size cities_L2,x,Mid-size cities,2,11,0.0,0.0,-0.0,-0.0
Mid-size cities_L3,x,Mid-size cities,3,11,-0.0,0.0,-0.0,-0.0
Scenario analysis_L1,x,Scenario analysis,1,12,0.0,-0.0,0.0,0.0
Scenario analysis_L2,x,Scenario analysis,2,12,0.0,-0.0,0.0,0.0
Scenario analysis_L3,x,Scenario analysis,3,12,0.0,-0.0,0.0,0.0
Economic ideology_L1,x,Economic ideology,1,13,0.0,0.0,0.0,0.0
Economic ideology_L2,x,Economic ideology,2,13,0.0,0.0,0.0,0.0
Economic ideology_L3,x,Economic ideology,3,13,0.0,0.0,0.0,0.0
Middle east_L1,x,Middle east,1,14,0.0,-0.0,-0.0,0.0
Middle east_L2,x,Middle east,2,14,0.0,-0.0,-0.0,0.0
Middle east_L3,x,Middle east,3,14,0.0,-0.0,-0.0,0.0
Savings & loans_L1,x,Savings & loans,1,15,-0.0,0.0,-0.0,-0.0
Savings & loans_L2,x,Savings & loans,2,15,-0.0,0.0,-0.0,-0.0
Savings & loans_L3,x,Savings & loans,3,15,-0.0,0.0,-0.0,-0.0
IPOs_L1,x,IPOs,1,16,0.0,0.0,-0.0,0.0
IPOs_L2,x,IPOs,2,16,0.0,0.0,-0.0,0.0
IPOs_L3,x,IPOs,3,16,0.0,0.0,-0.0,0.0
Restraint_L1,x,Restraint,1,17,-0.0,-0.0,-0.0,-0.0
Restraint_L2,x,Restraint,2,17,0.0,-0.0,-0.0,-0.0
Restraint_L3,x,Restraint,3,17,-0.0,-0.0,-0.0,0.0
Electronics_L1,x,Electronics,1,18,-0.0,-0.0,-0.0,0.0
Electronics_L2,x,Electronics,2,18,0.0,-0.0,-0.0,0.0
Electronics_L3,x,Electronics,3,18,0.0,-0.0,-0.0,0.0
Record high_L1,x,Record high,1,19,0.0,0.0,0.0,0.0
Record high_L2,x,Record high,2,19,0.0,0.0,0.0,0.0
Record high_L3,x,Record high,3,19,-0.0,0.0,0.0,0.0
Connecticut_L1,x,Connecticut,1,20,-0.0,-0.0,-0.0,-0.0
Connecticut_L2,x,Connecticut,2,20,0.0,-0.0,-0.0,-0.0
Connecticut_L3,x,Connecticut,3,20,0.0,-0.0,-0.0,-0.0
Steel_L1,x,Steel,1,21,-0.0,0.0,0.0,-0.0
Steel_L2,x,Steel,2,21,-0.0,0.0,0.0,-0.0
Steel_L3,x,Steel,3,21,0.0,-0.0,0.0,-0.0
Bond yields_L1,x,Bond yields,1,22,-0.0006297416777217197,0.0037601839493446696,0.0023681510119421493,-0.0007758676550333213
Bond yields_L2,x,Bond yields,2,22,0.002860260277350819,0.003314007689674392,0.0023858707334116717,-0.000360950611615654
Bond yields_L3,x,Bond yields,3,22,0.0034672827581451507,0.0032802178445402335,0.002343422537753263,-0.0005949716044083677
Small business_L1,x,Small business,1,23,0.0,0.0,-0.0,-0.0
Small business_L2,x,Small business,2,23,0.0,-0.0,0.0,-0.0
Small business_L3,x,Small business,3,23,0.0,0.0,0.0,-0.0
Cable_L1,x,Cable,1,24,-0.0,-0.0,0.0,-0.0
Cable_L2,x,Cable,2,24,-0.0,-0.0,0.0,-0.0
Cable_L3,x,Cable,3,24,-0.0,-0.0,0.0,-0.0
Fast food_L1,x,Fast food,1,25,-0.0,0.0,0.0,-0.0
Fast food_L2,x,Fast food,2,25,0.0,0.0,0.0,-0.0
Fast food_L3,x,Fast food,3,25,0.0,-0.0,0.0,-0.0
Disease_L1,x,Disease,1,26,0.0,-0.0,-0.0,0.0
Disease_L2,x,Disease,2,26,-0.0,-0.0,-0.0,0.0
Disease_L3,x,Disease,3,26,-0.0,-0.0,-0.0,0.0
Activists_L1,x,Activists,1,27,0.0,0.0,-0.0,0.0
Activists_L2,x,Activists,2,27,0.0,0.0,-0.0,0.0
Activists_L3,x,Activists,3,27,-0.0,0.0,-0.0,0.0
Competition_L1,x,Competition,1,28,0.0,0.0,0.0,0.0
Competition_L2,x,Competition,2,28,0.0,0.0,-0.0,0.0
Competition_L3,x,Competition,3,28,0.0,0.0,-0.0,0.0
Music industry_L1,x,Music industry,1,29,-0.0,-0.0,-0.0,0.0
Music industry_L2,x,Music industry,2,29,-0.0,-0.0,-0.0,0.0
Music industry_L3,x,Music industry,3,29,-0.0,-0.0,0.0,0.0
Short sales_L1,x,Short sales,1,30,-0.0,-0.0,0.0,-0.0
Short sales_L2,x,Short sales,2,30,-0.0,-0.0,0.0,-0.0
Short sales_L3,x,Short sales,3,30,-0.0,-0.0,0.0,-0.0
Nonperforming loans_L1,x,Nonperforming loans,1,31,0.0005703025810593646,-0.00037477992602561643,-0.00020919984184051256,-0.0004748483977706369
Nonperforming loans_L2,x,Nonperforming loans,2,31,0.0006356517036935392,0.00015000669742657594,-0.0003069868912712242,-0.0006925940490771584
Nonperforming loans_L3,x,Nonperforming loans,3,31,0.00042138963030587665,-0.0001611299015609756,-0.0003501875975368857,-0.0004994333967358948
Key role_L1,x,Key role,1,32,0.0,0.0,0.0,0.0
Key role_L2,x,Key role,2,32,0.0,-0.0,0.0,0.0
Key role_L3,x,Key role,3,32,-0.0,-0.0,0.0,0.0
News conference_L1,x,News conference,1,33,-0.0,-0.0,-0.0,0.0
News conference_L2,x,News conference,2,33,-0.0,-0.0,-0.0,-0.0
News conference_L3,x,News conference,3,33,-0.0,-0.0,-0.0,-0.0
US defense_L1,x,US defense,1,34,0.0,-0.0,-0.0,-0.0
US defense_L2,x,US defense,2,34,0.0,-0.0,-0.0,-0.0
US defense_L3,x,US defense,3,34,0.0,-0.0,-0.0,0.0
Political contributions_L1,x,Political contributions,1,35,0.0,-0.0,0.0,-0.0
Political contributions_L2,x,Political contributions,2,35,-0.0,-0.0,0.0,-0.0
Political contributions_L3,x,Political contributions,3,35,-0.0,0.0,0.0,-0.0
Revised estimate_L1,x,Revised estimate,1,36,-0.0,-0.0,-0.0,-0.0
Revised estimate_L2,x,Revised estimate,2,36,-0.0,-0.0,-0.0,-0.0
Revised estimate_L3,x,Revised estimate,3,36,0.0,-0.0,-0.0,-0.0
Economic growth_L1,x,Economic growth,1,37,-0.0,-0.0,-0.0,0.0
Economic growth_L2,x,Economic growth,2,37,0.0,-0.0,0.0,0.0
Economic growth_L3,x,Economic growth,3,37,0.0,-0.0,0.0,0.0
Justice Department_L1,x,Justice Department,1,38,0.0,0.0,0.0,0.0
Justice Department_L2,x,Justice Department,2,38,0.0,-0.0,0.0,0.0
Justice Department_L3,x,Justice Department,3,38,-0.0,-0.0,0.0,0.0
Credit ratings_L1,x,Credit ratings,1,39,-0.004379567011163298,-0.001705607674550464,-0.00026480861579211186,0.0010685743489832155
