name,block,var,lag,group,SP500,FEDFUNDS,PAYEMS,INDPRO
const,const,const,0,0,0.017159454134121545,-0.011926165003617564,0.018950739280579585,0.01503996244974541
SP500_L1,y,SP500,1,0,0.3188858247750968,-0.06047935863129388,0.0487549770895685,0.02179941453237745
FEDFUNDS_L1,y,FEDFUNDS,1,0,-0.03315628965486747,0.4286740107197341,0.023640657377274627,0.007369051767810661
PAYEMS_L1,y,PAYEMS,1,0,0.054972271139972696,0.03519968107333798,0.22031481788293605,0.06681387454517351
INDPRO_L1,y,INDPRO,1,0,0.036414649443416935,0.020558344697940843,0.07228291034216279,0.25506072815465913
SP500_L2,y,SP500,2,0,0.22047783567202436,-0.05678100846059071,0.04479585067934534,0.019726991255151375
FEDFUNDS_L2,y,FEDFUNDS,2,0,0.0013678882897007662,0.2748995707836858,0.004511949033838203,-0.008138777699902094
PAYEMS_L2,y,PAYEMS,2,0,0.052037436443848804,0.03054064118738676,0.22171976489655948,0.061894175726887865
INDPRO_L2,y,INDPRO,2,0,0.023393323621394863,0.0076902725516673955,0.07481355068780265,0.23763992921823948
SP500_L3,y,SP500,3,0,0.18777545217151698,-0.058539892481482045,0.045290778713913675,0.026053702070243167
FEDFUNDS_L3,y,FEDFUNDS,3,0,0.02093875397414456,0.19196616375374206,-0.01744273658201773,-0.025216075608981165
PAYEMS_L3,y,PAYEMS,3,0,0.04991270338120066,0.026895752474973424,0.2232137105088619,0.05785987452765031
INDPRO_L3,y,INDPRO,3,0,0.006782197996647664,-0.0014159282439012955,0.07994525598410844,0.22504627589817144
M&A_L1,x,M&A,1,6,0.00025920601665537684,0.00027419577256987166,-2.7550000526308278e-05,4.361532318039607e-05
M&A_L2,x,M&A,2,6,0.00018129466254626192,0.0003326693311036226,-3.5672785718144866e-06,-2.7337189709232667e-05
M&A_L3,x,M&A,3,6,0.0001388977214066348,0.00037558857437482336,-1.2544096309843332e-05,-4.730644975681391e-05
Credit ratings_L1,x,Credit ratings,1,39,-0.0063983461701814385,-0.0038432810071195767,-0.0007824169871426934,0.0014132268639819548
Credit ratings_L2,x,Credit ratings,2,39,-0.004826612490470925,-0.0021388532485810854,-0.000591187418054117,0.0013011381068745542
Credit ratings_L3,x,Credit ratings,3,39,-0.0031354978169381696,-0.002288430710205829,-0.0004107956218693537,0.0007761414623697559
Control stakes_L1,x,Control stakes,1,51,-0.0008981903893904528,0.004436318208151975,-0.0005184828262341794,0.001294959662238845
Control stakes_L2,x,Control stakes,2,51,-0.0015246729205848216,0.0031971692396855055,-0.00052282375238227,0.0014963634969725464
Control stakes_L3,x,Control stakes,3,51,-0.0006330705403032823,0.0023951060905641093,-0.0003667896284966082,0.0016926917597335737
Recession_L1,x,Recession,1,72,-0.02031824799770381,-0.020356250116306752,1.063635375544365e-05,-0.01314465742921459
Recession_L2,x,Recession,2,72,-0.005964923641507099,-0.014164023244165286,0.0023916613686594253,-0.0113617413520823
Recession_L3,x,Recession,3,72,0.0013767532472113357,-0.009105207756356787,0.00386302408705325,-0.010995133542502937
SEC_L1,x,SEC,1,75,-0.002108158186986815,0.0016281254411901738,-0.0006701024086486036,0.0016943358485460563
SEC_L2,x,SEC,2,75,-0.0023339352219390185,-9.368512821383908e-05,-0.0006932858335110378,0.0016156628623827584
SEC_L3,x,SEC,3,75,-0.0011816961482630233,-0.000892131128586505,-0.0006344013366990332,0.0018098353489787136
Arts_L1,x,Arts,1,90,0.002061259088085654,-5.845891834942278e-06,-0.0003271283855018393,-0.0005717419537401788
Arts_L2,x,Arts,2,90,0.0013297770420296839,-0.00014718632188268814,-0.00043369045853985857,-0.0006702043312410559
Arts_L3,x,Arts,3,90,0.0007363189234891893,-0.0006965444315766468,-0.0004471871123931345,-0.00033615638019350564
Southeast Asia_L1,x,Southeast Asia,1,123,0.0060415449892409,0.002486099038453873,-0.0032048795333505255,0.004055602131714637
Southeast Asia_L2,x,Southeast Asia,2,123,0.003714137174010814,0.0014819214768308797,-0.0036881696804932293,0.0041132322027011975
Southeast Asia_L3,x,Southeast Asia,3,123,0.003286605690159284,0.002090509931779228,-0.003953312097602085,0.003884538060911074
Mortgages_L1,x,Mortgages,1,129,-0.0023321437752475563,-0.004872765614962771,-0.002405248140419901,0.004091130978944723
Mortgages_L2,x,Mortgages,2,129,-0.002197604907221299,-0.005876730665521969,-0.002408897771022164,0.003480590668994286
Mortgages_L3,x,Mortgages,3,129,-0.004756787857343294,-0.0057062585312986636,-0.00213562368743804,0.003887148999254231
Utilities_L1,x,Utilities,1,147,-0.0008403209619577197,-0.0016049232077269568,-0.0010862253377705887,0.000813722331875278
Utilities_L2,x,Utilities,2,147,-0.0020397443253047844,-0.0019750041612190817,-0.0011490807419709914,0.0005411284630455076
Utilities_L3,x,Utilities,3,147,-0.0016510089661560634,-0.0023100610216081714,-0.001111041119959223,0.001188487525314141
EPU_L1,x,EPU,1,181,-0.005981913382750306,-0.010536767212025342,-0.0006609842093522794,-0.00022404561963718062
EPU_L2,x,EPU,2,181,0.005653177594521921,-0.006255818476362885,2.1411180446515767e-05,-0.0007533306886239073
EPU_L3,x,EPU,3,181,0.004891810159332399,-0.0044310375335163635,-0.0004401473690475255,-0.0013810008789870707
