h,recession_attn,SP500,FEDFUNDS,PAYEMS,INDPRO
0,0.2615310516093017,-6.8186015507332565,-0.1283935094382763,-0.04587356808511134,-0.21532830513488366
1,0.1500311483565794,-8.910586513515183,-0.28871994420720426,-0.13500455628683633,-0.5405867172972406
2,0.1086294007108367,-9.139483487467462,-0.39488987134342796,-0.21396923758383604,-0.8964125968129333
3,0.12510796078386496,-9.13512314603505,-0.468614417763437,-0.30572392260088155,-1.1610654556776743
4,0.1005444526279147,-9.467697305484055,-0.541715399407603,-0.4044208975524032,-1.406695306321815
5,0.08112649566144156,-9.699351927492133,-0.6143817392982696,-0.5064998163530451,-1.5943517620263499
6,0.07022386794754511,-9.941248029633908,-0.6695159620823664,-0.60164559891066,-1.790483952146535
7,0.058113424646609194,-10.082396341874755,-0.7138016589504106,-0.6918387576411894,-1.937444835294589
8,0.04580855513440423,-10.099888865008849,-0.7574189098536955,-0.7715936008061818,-2.081802151436249
9,0.035394640200650564,-10.10034128459501,-0.7930883432235837,-0.8555995446599038,-2.2166939303211315
10,0.02615291934167049,-10.14650012446334,-0.8135438652485583,-0.9310568277064667,-2.309684087441759
11,0.016677677412019015,-10.258310778317338,-0.8338531819614842,-0.9840562925382517,-2.3918802580070992
12,0.0076381873578143505,-10.195453343699,-0.8566858831684253,-1.0390982582549075,-2.448380288976492
13,-0.0006196801662007051,-10.120024718340028,-0.8662708684052615,-1.077214364940771,-2.4977897951669688
14,-0.006450446816249289,-10.023729408682048,-0.8679859191390407,-1.116479501894806,-2.543741373049086
15,-0.011841410203439526,-9.899087682244541,-0.8636887644200869,-1.152858967502293,-2.5506271328634273
16,-0.01810539812765226,-9.763586606946227,-0.8723267760129925,-1.1830836561370257,-2.5703674670539476
17,-0.02496063293403896,-9.673255713930994,-0.851344681019822,-1.2113701382609963,-2.571993944106586
18,-0.029805294814618077,-9.561762914819127,-0.8238672355672902,-1.229114964257543,-2.537369865302846
19,-0.03523358043306292,-9.430382331708595,-0.8010409983503605,-1.2402547275183384,-2.5133922154054065
20,-0.03883949126777674,-9.29166381562218,-0.778126719582145,-1.2409024681024745,-2.4803834827255917
21,-0.042879147047194116,-9.097432278029126,-0.7506868570373056,-1.2403504975501842,-2.4399015265423043
22,-0.04576794330797751,-8.859437224704777,-0.7144728866862721,-1.239276292111722,-2.389080530354088
23,-0.04911050888976316,-8.642135869489193,-0.6778680510691286,-1.2258376695902622,-2.343725208425572
24,-0.05317024604914207,-8.523872810232366,-0.6470942184630899,-1.2143541637615032,-2.2731161594175244
25,-0.056083960952066574,-8.356668718201133,-0.6044778135415064,-1.1998857548469375,-2.218048788190753
26,-0.05708534624245521,-8.132041341251028,-0.5777283980462812,-1.1823866810880574,-2.166218207187457
27,-0.0578712795203495,-7.970004090062445,-0.5463717479703164,-1.1627842490710338,-2.0878890451923517
28,-0.05939120585126293,-7.857665014988422,-0.512826034206666,-1.139291621638457,-2.0317718401201073
29,-0.060071799917082856,-7.7458540226881025,-0.4827941757127691,-1.111118443800397,-1.975699341155818
30,-0.061085469540170814,-7.610095943117414,-0.44434115423296366,-1.0849447758641186,-1.9040417615631247
31,-0.061931615563428036,-7.538081312268127,-0.4102598185365069,-1.0573185461268968,-1.8595352089746455
32,-0.06278092553132486,-7.438083415098039,-0.37091545010419946,-1.044852215708373,-1.7892091174091596
33,-0.06288159532210186,-7.184343024758393,-0.33501044395025864,-1.0188391485694448,-1.7317756121726897
34,-0.0626132541084697,-7.015111705297646,-0.3152753594531719,-0.992873041529583,-1.682985764801191
35,-0.06261389753112001,-6.792333196789234,-0.2892433928128993,-0.9702007335737615,-1.6185780291951848
36,-0.06203222382005808,-6.71169373279203,-0.26032026966395055,-0.9542365226889753,-1.564744663921641
