h,recession_attn,SP500,FEDFUNDS,PAYEMS,INDPRO
0,0.30727491521110817,-5.587707896224398,-0.08484480516241227,-0.0245133504991334,-0.005009049707201097
1,0.19419435713457045,-7.30037351900951,-0.21854265704292783,-0.10220280021982735,-0.3045767050943578
2,0.1558152339766608,-7.634230226481965,-0.30501765659183805,-0.170282276488839,-0.6498030527473776
3,0.16830845932122204,-7.645755532011481,-0.3654990556401357,-0.25638617135530434,-0.8873580273091325
4,0.14667751131927162,-7.926836208576627,-0.4263188885645036,-0.34355230025990424,-1.1142037214163052
5,0.12965063975330893,-8.18048649324591,-0.48564357929961044,-0.43075036558107455,-1.2848610467408668
6,0.1199845457787951,-8.293382092932973,-0.5339720030503566,-0.5136129600976449,-1.4383450410634906
7,0.10735725671774708,-8.335269875269473,-0.5760563361696985,-0.5925613973102709,-1.5735054097330605
8,0.09520360835385691,-8.357477406008213,-0.6119569518333454,-0.6651990426867409,-1.6868795891111426
9,0.08461162233839944,-8.351299321314178,-0.6413565265945105,-0.7315295157924192,-1.780414993772606
10,0.07430485763522994,-8.319115665147438,-0.6644896421997333,-0.7910165467528595,-1.857698691526356
11,0.0644403563134752,-8.266444950184507,-0.6817536238940627,-0.8436533247631196,-1.919212236573946
12,0.05518944734228676,-8.196583365668536,-0.6933399521548848,-0.8894336470423633,-1.9662310225515822
13,0.04642483920815364,-8.111732300470958,-0.6996029940187907,-0.9285685572204779,-1.9999825487258382
14,0.03813073589603051,-8.01399546887186,-0.7008858686507223,-0.9612820155704526,-2.0215605659307676
15,0.03032322006757148,-7.9048979250563205,-0.697537679550819,-0.987883340681095,-2.0319817892565153
16,0.022985405970997835,-7.785872729898598,-0.6899157293382108,-1.008705101545721,-2.0322625194796777
17,0.016109230193884033,-7.658222378796673,-0.6783839456381134,-1.024108460127697,-2.0233468074494416
18,0.00969146377315506,-7.523113066017753,-0.6633001008787466,-1.034464148978981,-2.006145450780203
19,0.0037252372100274934,-7.381614610886307,-0.6450183013848813,-1.0401504527513072,-1.9815306242710427
20,-0.0017968082151596978,-7.234736764401497,-0.623885111719587,-1.0415445885026022,-1.9503354809106432
21,-0.006882181242435281,-7.083426381761194,-0.600237686615134,-1.0390200445824405,-1.9133535463882776
22,-0.011539732249988145,-6.928577361320106,-0.5744021087881872,-1.0329427182398394,-1.8713406552118117
23,-0.015779406541145145,-6.771035408297167,-0.546692321042648,-1.0236688264835474,-1.8250137450179655
24,-0.01961213370023469,-6.611600528437828,-0.5174089688864727,-1.0115429018867386,-1.77505113722949
25,-0.023049885689355027,-6.451028152846725,-0.4868386719301785,-0.9968965040587996,-1.7220924909741797
26,-0.026105599741305784,-6.290030154283069,-0.45525340401815617,-0.9800471303570953,-1.6667389165906612
27,-0.028793071732269696,-6.129275001160612,-0.422910051889229,-0.9612974762433568,-1.6095531285026592
28,-0.0311268692161188,-5.969387870357734,-0.3900501056119748,-0.9409348809066183,-1.5510597917853823
29,-0.03312222694126285,-5.810950673045043,-0.3568994816674777,-0.9192309703099885,-1.4917459470814993
30,-0.03479493722544852,-5.654502115941931,-0.3236684500955266,-0.8964414409822062,-1.432061576498034
31,-0.03616124276251853,-5.500537844186765,-0.2905516629936293,-0.8728059745327413,-1.3724202843095268
32,-0.037237730650386235,-5.3495107300395945,-0.2577282703364698,-0.8485482570281153,-1.3132000931693681
33,-0.03804122890889146,-5.201831310431545,-0.22536211519560742,-0.8238760920244029,-1.254744343835889
34,-0.03858870748796735,-5.057868390106589,-0.19360199941541575,-0.7989815932209703,-1.1973626927692107
35,-0.03889718414444363,-4.917949809240561,-0.1625820124682102,-0.7740414473602739,-1.1413321960529066
36,-0.038983635704833944,-4.7823633711541245,-0.13242191605771778,-0.7492172381077696,-1.0868984705683262
