h,recession_attn,SP500,FEDFUNDS,PAYEMS,INDPRO
0,0.33707922837163967,-4.021897052042009,-0.03975533889987601,-0.0016440602663138713,0.16124786562274457
1,0.21787812960487724,-5.2195117107496,-0.13414996181594965,-0.06281249035806155,-0.06277014839368773
2,0.17880088887727663,-5.162141410775415,-0.19547788245759154,-0.11392611228083048,-0.3698354394990125
3,0.18607245648331192,-5.117973255936607,-0.24760583978583953,-0.18146188036573632,-0.5586600634744934
4,0.16625324752785473,-5.057286262122481,-0.29826019966883804,-0.24526531442517543,-0.7271545166353123
5,0.14771860950166602,-5.058610690740296,-0.33597124960471114,-0.30692967367607876,-0.8320347245827469
6,0.13846863290006217,-4.747871454816202,-0.36526798679852895,-0.3643001211177095,-0.9186299401388107
7,0.12656465507460807,-4.630625657359363,-0.38720043433404966,-0.4146098470284952,-0.9875581647006364
8,0.11357919450597388,-4.392128383559241,-0.40408122718779976,-0.46082730806388406,-1.0439782329449654
9,0.10270277840192488,-4.2194524839055445,-0.407344269653854,-0.49682603308826895,-1.0552296660853921
10,0.0916382304674093,-4.079494576773738,-0.4121019876914095,-0.5293020286662773,-1.0635859293377727
11,0.0811948209254672,-3.9541685273926332,-0.4041598235723101,-0.5437575175433423,-1.0702247464494823
12,0.0715805791477202,-3.758064976386473,-0.3910681381883547,-0.5561025522808672,-1.0576546361030081
13,0.06158879836895989,-3.4761925657156043,-0.37982459167949734,-0.5692551436178231,-1.0163784414457355
14,0.05344981425645568,-3.3533005827512548,-0.36175105699136656,-0.574918516931336,-0.9892804514579048
15,0.04523767030203815,-3.088274344571495,-0.3482964417292049,-0.5703186664541933,-0.9649918297284182
16,0.037175219158753894,-2.9343780739065717,-0.3300142243676541,-0.5628911008086834,-0.93377077916008
17,0.02945294110110804,-2.7058994191409007,-0.2946094418789259,-0.5531117522494297,-0.8837947341119827
18,0.022150571171474676,-2.518158812796649,-0.2719344185573982,-0.5427189339564994,-0.8378672134243357
19,0.015381383448514533,-2.4343445581669094,-0.2425170122827921,-0.5293311568211758,-0.7881722253452417
20,0.009493779596507284,-2.2776877726796365,-0.20508846358008367,-0.5139856516541322,-0.7462986223841471
21,0.0037283779442446843,-2.0518374412898437,-0.177047835214406,-0.4985306738086374,-0.6768792327218438
22,-0.000663252201018653,-1.8720312242375778,-0.14417473649081775,-0.47595177707523895,-0.6324766273856876
23,-0.0037647579657862046,-1.6959054812495757,-0.11356871558050939,-0.4550271790084067,-0.5811553996749522
24,-0.006692126592990065,-1.4683814342847774,-0.08807845726714834,-0.4313303818094051,-0.5086661212657848
25,-0.010201118532855238,-1.3086673025390816,-0.059827389000764876,-0.4039150408561496,-0.4405938046575818
26,-0.011252299231183586,-1.0574439813532235,-0.032039058724764105,-0.3755495612780581,-0.36248644354036924
27,-0.012252442979203443,-0.828652842885638,-0.015105690202554402,-0.354714194029833,-0.3117530311659493
28,-0.01301321293111328,-0.6470959443298087,0.01337079287659446,-0.3279953491633091,-0.2644265696928273
29,-0.01364936483910143,-0.48236229435879674,0.037668128846956736,-0.289176001333451,-0.20353773995694374
30,-0.014282411687892106,-0.39657198260595306,0.06314291194810742,-0.26471016926007634,-0.16090982649269792
31,-0.014328482591172921,-0.29723214127936515,0.08591800154776469,-0.23209031289481577,-0.10240314881872814
32,-0.014757091265375347,-0.22328857605409505,0.11545012378711213,-0.20705779634700194,-0.0442466651396607
33,-0.01447400336770466,-0.09968432626114923,0.14093385282586168,-0.18086887221467457,-0.007219261960485989
34,-0.013845189875055156,-0.0850626006224226,0.1645319579803035,-0.15990771093195483,0.07276090382383203
35,-0.013564853672095171,-0.017395543542760336,0.19283032211778617,-0.1393466098248209,0.10776201743144985
36,-0.013404532181763153,0.06429993819996732,0.22326721360108356,-0.11552008200835645,0.16478735317522486
