h,EPU,SP500,FEDFUNDS,PAYEMS,INDPRO
0,70.41084515401245,-4.438692946097517,-0.087432395427248,-0.04884232932444441,-0.4188573431238609
1,37.49656467251971,-5.189051666865177,-0.25237116778769497,-0.082740279831433,-0.43561228309939
2,16.727457328360334,-3.7185232144378104,-0.35664741421950863,-0.14280278889428702,-0.7851015357991307
3,7.7599724023528225,-3.0629080101691275,-0.4368909825004017,-0.20567989821659932,-1.0162753076218807
4,3.316113619666901,-3.1339939803290724,-0.49384302767056787,-0.2648429645872115,-1.1786275730426787
5,2.5471570761783506,-3.1770070123736174,-0.5455354358677682,-0.3229267552060934,-1.2978939556322062
6,2.001418041849848,-3.1626260919664686,-0.5819313104748965,-0.3695584597283541,-1.4185795159506787
7,1.4939535422115937,-3.221689434984497,-0.6234178488811666,-0.4092160895609998,-1.4653060033578424
8,1.262812941850596,-3.2823187729188743,-0.6435467009983026,-0.4417871403067447,-1.481236985488364
9,0.7129181951150756,-3.308862861312818,-0.6645178584424261,-0.4763191721678078,-1.4832690983867283
10,0.4268544317568867,-3.2730294299414484,-0.6739179217166952,-0.4974819837052582,-1.487282153512482
11,0.1637146102256461,-3.272431838301704,-0.6795125109637438,-0.5169443989737142,-1.4739741257423642
12,-0.07355710377781771,-3.236066573138312,-0.6764052825015492,-0.5248273760597796,-1.4531951534053174
13,-0.4382985486034976,-3.2221460695963446,-0.6659201824173789,-0.5392648692657708,-1.4326321378121272
14,-0.7093998925764027,-3.146279163851962,-0.6538960807875837,-0.5478204962893328,-1.4118565405730577
15,-1.0026195502965234,-3.093386887605768,-0.6397272329637036,-0.5542362873518448,-1.385566894187096
16,-1.2890024415888286,-2.978586888831309,-0.618091023173243,-0.5553119571027803,-1.3427525984672455
17,-1.4042034671829142,-2.9466646578151843,-0.607289841697632,-0.548150379332097,-1.2704998145555892
18,-1.5037999642366597,-2.885685520262033,-0.5938513079624922,-0.5369761372630119,-1.2067701142073641
19,-1.55363144614474,-2.780075201616313,-0.5753372298014766,-0.5236547286329819,-1.1553634196150533
20,-1.7015415958856348,-2.668598198693974,-0.5590643122080663,-0.5091800342192786,-1.119933147698394
21,-1.8427871443965014,-2.634443119084709,-0.5432565160088417,-0.49246548254623057,-1.065237067839508
22,-1.9768339126452525,-2.6048491456317646,-0.5207921400965725,-0.4751120897211396,-1.0172516883895544
23,-2.0633820322593652,-2.479675003895224,-0.5027960886850252,-0.4579145299349226,-0.957184810479378
24,-2.171058398225602,-2.461364683983901,-0.48124396310081186,-0.442101297966041,-0.9197081579649369
25,-2.2222919049408167,-2.3941575529555608,-0.46265832586927547,-0.4217267600251484,-0.880984086416006
26,-2.1541782924705597,-2.3378617970176983,-0.44362366331570846,-0.4027765091491556,-0.8533709411640328
27,-2.2292585377619756,-2.2794491986313967,-0.4240828656074063,-0.383353705840803,-0.7937341551195437
28,-2.2135645479941326,-2.23423110878945,-0.40112282002687916,-0.36556732649809087,-0.7657796668403994
29,-2.193356066945269,-2.17644844593424,-0.37530930407438995,-0.345392116712389,-0.7024630046056523
30,-2.1604100477072143,-2.080254788361994,-0.3632131677618777,-0.3243726800830655,-0.6689752233819648
31,-2.0917742222453732,-2.0775648033269567,-0.3436704729525401,-0.3125027700581212,-0.6152906585090971
32,-1.9849686736539374,-1.9971854079528844,-0.3277710081200457,-0.3054678898903575,-0.5921523694618551
33,-1.930669866083815,-1.9649872419570118,-0.3133053834269665,-0.28571162987859167,-0.5536920072237775
34,-1.921701411261105,-1.8535819169195231,-0.29648656051339906,-0.2755439625370348,-0.5337843433377224
35,-1.832735823467588,-1.7899000846483688,-0.27872948845963275,-0.26749088531816434,-0.5175259828062267
36,-1.7495257486679439,-1.753004015482407,-0.2630209900573025,-0.2563474898895669,-0.49054406784802873
