h,EPU,SP500,FEDFUNDS,PAYEMS,INDPRO
0,85.58653316287918,-3.040803525229661,-0.04843470368296249,-0.026126862301930974,-0.128262315714088
1,51.0792532641599,-3.5440361264268825,-0.18460429859651467,-0.0463949682002455,-0.11654955589790787
2,29.035583597664967,-1.6134669096414593,-0.27535768258317217,-0.08874923065927892,-0.3876368976525446
3,20.31017106697366,-0.6849074628420878,-0.3357698815333502,-0.13112476482613794,-0.6037426586983822
4,14.285332750252213,-0.6130705100251619,-0.3805892681483032,-0.16951037194833773,-0.7239638395799378
5,11.264043020708739,-0.6310333240806321,-0.41570157911008443,-0.2040096739705462,-0.8084316561280446
6,9.469504273894252,-0.6640189401737194,-0.4447069485608057,-0.23405329001017663,-0.867126761873498
7,8.052249671239363,-0.705545455680139,-0.4678340606737931,-0.25915811130412647,-0.9046543806453824
8,6.995939979650433,-0.7375523023588304,-0.4851971372654938,-0.2795599958855538,-0.9270792350616832
9,6.206601744456747,-0.7592011687583032,-0.4973745309169068,-0.29536605577689024,-0.9371177342370115
10,5.5762240240420695,-0.7695169359796793,-0.5049696754764839,-0.30684775873524833,-0.936795322685502
11,5.055773130338761,-0.7663620771594879,-0.5085178371749395,-0.31431086725741586,-0.9279358787045434
12,4.610117014763275,-0.7497853238215411,-0.5085144808425904,-0.318100545022545,-0.9119394653291718
13,4.216860763022543,-0.7206484672198379,-0.505405709234164,-0.3185602299709048,-0.8899413684826727
14,3.8625613506683814,-0.6801147662529524,-0.499598697814764,-0.31603436265982626,-0.862906481506401
15,3.538864626241097,-0.629513199174373,-0.4914658853910224,-0.3108536590878958,-0.8316628894631194
16,3.2401636083208656,-0.5702233604704876,-0.48134790215173906,-0.30333430705411474,-0.7969333558427916
17,2.962875812312837,-0.503590018829811,-0.469555281551422,-0.29377398111117325,-0.7593573325467752
18,2.704573139851537,-0.430898277403966,-0.4563707369943416,-0.28245143518425997,-0.7195036931497522
19,2.4635781845424236,-0.3533498491353465,-0.4420508877086716,-0.2696256764690832,-0.6778805459665935
20,2.238661984766129,-0.27205314751612003,-0.4268280108738622,-0.25553627365641257,-0.6349424044481773
21,2.0288772038155445,-0.1880190049014361,-0.410911616599037,-0.24040367307434973,-0.5910956965928315
22,1.83344008441071,-0.10216124951915155,-0.39448996855641216,-0.2244298790486637,-0.5467031713149727
23,1.6516662515931515,-0.015299244825356155,-0.377731512657804,-0.20779918516830737,-0.5020876219447872
24,1.4829277756825592,0.07183781464453799,-0.36078625114601326,-0.19067902087861832,-0.4575351062545581
25,1.3266295779483237,0.15860591827077788,-0.3437870517227893,-0.17322082078358864,-0.4132978323282074
26,1.1821951376941455,0.2444407872201033,-0.3268509014647334,-0.15556092241644134,-0.36959679080681673
27,1.0490593124429595,0.3288523003063411,-0.3100801033315116,-0.13782146179407312,-0.3266241941436154
28,0.9266648129310213,0.4114189200205581,-0.2935634177659014,-0.12011126288920973,-0.284545756081661
29,0.8144612096820841,0.4917822458921255,-0.27737714900370064,-0.10252670949039129,-0.2435028347982484
30,0.711905224141698,0.5696417485439877,-0.26158617700328735,-0.08515259564116827,-0.20361445316198445
31,0.6184617929620623,0.6447497296651669,-0.24624493530644986,-0.06806294970284632,-0.1649792055548245
32,0.5336054565540802,0.7169065278394258,-0.23139833561466946,-0.05132182958920485,-0.1276770572969296
33,0.45682186295490274,0.7859559834107032,-0.21708263986208395,-0.034984086881071005,-0.0917710412299879
34,0.3876092303187184,0.8517811661693665,-0.20332628081915177,-0.019096098510679727,-0.05730885496619191
35,0.32547969421964024,0.9143003658160559,-0.19015063238178043,-0.0036964650356632557,-0.024324361897901523
36,0.26996049308117404,0.9734633413188132,-0.17757073086970032,0.011183324992104116,0.007161001157089664
