h,EPU,SP500,FEDFUNDS,PAYEMS,INDPRO
0,94.59007305908125,-1.7001105195877497,-0.004278761102632663,7.460251861524949e-05,0.11301402449635153
1,58.25140743168206,-1.6961820104375873,-0.10367133612717512,-0.0041587205861265235,0.18446975439231098
2,35.93124826245338,0.44182771630389345,-0.16220966334256828,-0.02400956598884268,-0.023438721366189755
3,25.693873568255224,1.4946353180186573,-0.1928294403953793,-0.04565792483939966,-0.14578155477452484
4,19.254665022744472,1.7228164938902097,-0.2100733436440229,-0.058065403610815344,-0.18802342461728164
5,15.8368789961687,1.83693389192571,-0.22395087786405415,-0.06007659282713553,-0.202466847008048
6,13.590190792068531,1.8177420163897393,-0.23292864225474058,-0.06406789133069313,-0.20474988631281785
7,11.64320196629442,1.8188540485100033,-0.23743624173055092,-0.06680490319231061,-0.1907111784766273
8,10.156370284088517,1.785769863372437,-0.23219002323871385,-0.06371925946159081,-0.18192286555421955
9,8.97150345088671,1.81015717441665,-0.2323554172015722,-0.05726657912384144,-0.15551581088334648
10,7.9226296946411585,1.7525832373758417,-0.2269273047279367,-0.04781533833587221,-0.12292722570053355
11,7.121780421214076,1.8608814067623534,-0.21394764413150494,-0.04131092248856057,-0.09979305179422344
12,6.501451288049321,1.8545197532241589,-0.20407099607019016,-0.028921678292791072,-0.05601262484129502
13,5.846903355282794,1.844090810828274,-0.1911019590171549,-0.01654024001193509,-0.008806010141827138
14,5.27695421872958,1.8758072700809727,-0.17862227750210238,-0.00327193671386099,0.038125966666503947
15,4.8867011674102265,1.9142004325345885,-0.1645275136236444,0.009880051688442257,0.0851198154932282
16,4.49463630509104,2.0588591027145022,-0.15187699878997482,0.029661771679658798,0.1341681479189393
17,4.219116622151452,2.124854658690011,-0.13477277905271548,0.05315867673868579,0.18078289368741027
18,3.8486625740634146,2.2462034129810347,-0.1223567476028034,0.0708950391764209,0.20727784285354883
19,3.59418848607321,2.382340734237287,-0.11008808003576072,0.09205814617859376,0.24559115548562752
20,3.43317333604536,2.433013103624281,-0.09983931180715645,0.10964587754462904,0.2762342067217768
21,3.147592806124461,2.5491316987572508,-0.08801720666800478,0.1286812230386867,0.3143061328120936
22,2.87178733933661,2.6074012290204482,-0.07150528528152475,0.14266147230865617,0.3495457691563901
23,2.7039976218214017,2.666723559059797,-0.0554991450208824,0.16158805385958572,0.39206958937895153
24,2.5293128808638046,2.757838542780551,-0.04294588611109714,0.18099762665525687,0.4554605068733698
25,2.3912173677483204,2.830912444348887,-0.02882602996323906,0.19489590024092904,0.49750808837345156
26,2.247050557436598,2.92649969980904,-0.0186450988656112,0.21561504373837978,0.5181731226210539
27,2.1026740272496727,2.9389963282547167,-0.005877120055016517,0.23574849342683155,0.5490407881874585
28,2.020546488798914,2.9784736458145358,0.00635952080628084,0.2540656838193741,0.5927941661318684
29,1.9282404912583233,3.011495005412523,0.018730810777076383,0.27072087163010944,0.6424121477785968
30,1.837840008489636,3.073504671470824,0.028281525650100614,0.2829590928647183,0.6656941105074402
31,1.7605975011964499,3.1299544332634297,0.039904780322693234,0.28908945578319956,0.7025649881672731
32,1.718991586284203,3.162870850786739,0.04854453426072311,0.2969559246483724,0.7415126570806068
33,1.5991715123481118,3.1935339099721483,0.05250584612032141,0.30923777983824374,0.7712894312103522
34,1.4703060695986,3.1864677034187636,0.058278326008469765,0.3237565916377808,0.7917348501726349
35,1.3820429647290142,3.2048017751471978,0.06305926067412715,0.33707713852949944,0.7996075664006337
36,1.3285746152366078,3.221406627966934,0.06766201976315517,0.3481352491530126,0.8209412437952316
