h,EPU,SP500,FEDFUNDS,PAYEMS,INDPRO
0,72.02244272530955,-4.6003025085762115,-0.10062507674890944,-0.053683208578939184,-0.387409475660894
1,38.42330418994174,-5.795397123512613,-0.2861789990301505,-0.0994998680387525,-0.4131098033236986
2,16.75070021034261,-5.058728444223381,-0.40381445794646326,-0.1664957568616344,-0.7468011072051312
3,9.139407194051957,-3.8395836244505133,-0.49072217194807166,-0.23106867561168715,-1.0259460005103713
4,3.8605822537992927,-3.757083502856042,-0.5662739674561608,-0.2924836768663556,-1.17927665492519
5,1.5124169917767059,-3.8217446805847732,-0.6250763051120077,-0.3501323976805227,-1.2756025492674747
6,1.4961075500138097,-3.8406380521201773,-0.6676895554585625,-0.39910096280112173,-1.3527860788896933
7,1.062753191038269,-3.8796266737028406,-0.6935860506723925,-0.4519064486816007,-1.393262686542943
8,0.9995348157150326,-3.870108124299662,-0.7139060233970783,-0.49556062651184873,-1.4425900204255808
9,0.7734311841711248,-3.844615324250927,-0.734670083909814,-0.5287328455401422,-1.4567472483742605
10,0.5391216736339526,-3.8170980149232574,-0.7275032687855331,-0.5504335220016683,-1.4441735612845967
11,0.16674627029525918,-3.6747000734465303,-0.7295800772345971,-0.5616637786871986,-1.4502639772241994
12,-0.14968098447101105,-3.5184998252918964,-0.7282494765405048,-0.5746054155399852,-1.4439710476132812
13,-0.4978766752581156,-3.4749526495993743,-0.7038431945753072,-0.5843792285009846,-1.4228119088089943
14,-0.6741161832581773,-3.357021303590891,-0.6948246263920314,-0.5795095355891748,-1.3925021864831169
15,-0.9653459686830248,-3.368223958656283,-0.6825167033039157,-0.5759987319263149,-1.3529431242230388
16,-1.2156620381592083,-3.385635632603646,-0.6566295015691233,-0.5673402204823615,-1.3291480190813363
17,-1.464823209015222,-3.2909952423220767,-0.6365509019204456,-0.5527274011971572,-1.2925223344018415
18,-1.693409935637521,-3.1822708450496537,-0.6125514116917118,-0.5493486799064838,-1.2448450572819687
19,-1.6781750366405197,-3.0756564698839255,-0.580309208711214,-0.5300977927252087,-1.196756232025124
20,-1.772175183767787,-2.9917829158913385,-0.5565125032830772,-0.5181667305521697,-1.1448947531749065
21,-1.8745718290039732,-2.8639901988161065,-0.5303285890148042,-0.5048632856069846,-1.092344709256131
22,-2.0037120457789714,-2.804712179694562,-0.511679923848797,-0.48690337631616126,-1.038987068661011
23,-2.0226427974653602,-2.7147944999774736,-0.48867033532792603,-0.4675152393823092,-0.9840069093016254
24,-2.0714551338163534,-2.6271192330712663,-0.4650772831034001,-0.4551061530855134,-0.9453397540913598
25,-2.0219088477440796,-2.543117607863694,-0.44130907555862214,-0.4342839056219394,-0.9092905776783256
26,-1.9040835548707788,-2.466161453053537,-0.4127895184094565,-0.4101637974233389,-0.8747246017649403
27,-1.891856237530366,-2.4632848680345494,-0.38786920703791666,-0.3961748935059068,-0.8380544745184254
28,-1.9117228499593826,-2.3656256088026284,-0.37450132185624646,-0.3832755605026713,-0.8058003566722495
29,-1.9454562495525847,-2.3153867297396005,-0.36453580647160333,-0.3748674871498511,-0.7465786624262907
30,-1.8663763965739655,-2.283536656703413,-0.34847662814719355,-0.35293082694868205,-0.708124696842548
31,-1.7495761229458817,-2.238737405087663,-0.32116743050636726,-0.3412048703432015,-0.6616458672862444
32,-1.7221683754544495,-2.2227102876312843,-0.29501930445392155,-0.32168158646455625,-0.6459068711414679
33,-1.6595133547131558,-2.2018229639098057,-0.2820289635935472,-0.3123513913725759,-0.629145941747689
34,-1.6005424485337878,-2.1653034567095246,-0.2699510515086336,-0.30517782358526646,-0.6011521560429691
35,-1.568513541371119,-2.135835761643145,-0.25081378221227635,-0.29840053618822854,-0.5831205088150574
36,-1.5592286867460652,-2.1087111891168866,-0.236701843870181,-0.29262613793207426,-0.576135873345269
