h,EPU,SP500,FEDFUNDS,PAYEMS,INDPRO
0,82.2062701253716,-3.4066530595740314,-0.05705863149848843,-0.02849626618455429,-0.11560857290283591
1,49.0045911678932,-4.180544369795666,-0.20058065424604257,-0.05709805842669165,-0.11693450776041767
2,27.467180495859786,-3.1636997637022564,-0.29228503693915625,-0.1046068264800179,-0.37755109981943663
3,19.944217254962275,-2.0315797895316337,-0.350598872393831,-0.14924376906320969,-0.6037939850009613
4,13.904952000564636,-1.6690978770411218,-0.4017408532703107,-0.19264878820557066,-0.7201159758787349
5,10.118609881092453,-1.5995596282180238,-0.44334766858435426,-0.23182041100233497,-0.7866604917561552
6,8.193398701350167,-1.5517592544449577,-0.4731791809103559,-0.26638687181434784,-0.8393502410674757
7,6.954565354126103,-1.5238550627555238,-0.4942296693061481,-0.29541003756607837,-0.8742815625437002
8,6.037280372610273,-1.5186614999187158,-0.5085133708740527,-0.31909543747508484,-0.8937011295497647
9,5.37917978544876,-1.5146539836860375,-0.5169836149486089,-0.33760035203072297,-0.9015427248585485
10,4.872442005011842,-1.503344905160237,-0.5204786630736357,-0.35130675615579027,-0.9002066496777074
11,4.447612625130527,-1.4836348440573426,-0.5197624516749301,-0.36060455827399523,-0.89101836700435
12,4.075676373071904,-1.4552680212567666,-0.5154568980418203,-0.3659331850733112,-0.8752742197935487
13,3.741832717532004,-1.4184142671796431,-0.5080889676078135,-0.3677159950801284,-0.8540732766744421
14,3.4355607837700433,-1.3739321280324421,-0.4981277896822825,-0.36636756148881605,-0.8283408500569354
15,3.151083817551913,-1.3228885430401387,-0.4859909909811814,-0.3622779976544254,-0.7988796927499378
16,2.8851599590634183,-1.2663596381004751,-0.47205187944988225,-0.3558138841188422,-0.7664048109909816
17,2.6358340664708666,-1.2053895170253262,-0.456645142406855,-0.3473145633709894,-0.7315496403537294
18,2.401807925798102,-1.14096434707033,-0.4400712368761168,-0.3370930360429783,-0.6948768869287263
19,2.182222313032775,-1.0739895840874352,-0.42259917397975766,-0.3254358654650464,-0.6568865254819322
20,1.9764321823843132,-1.00528424363645,-0.4044691782460618,-0.31260432253221304,-0.6180219529392652
21,1.7839068368180049,-0.9355814942359607,-0.3858949202858243,-0.2988353554687054,-0.5786748528626128
22,1.6041659107316246,-0.8655313849109192,-0.36706558716476106,-0.28434290581531935,-0.5391896435588579
23,1.436750286040981,-0.7957049808476865,-0.3481477602705354,-0.2693191835045278,-0.4998674328937221
24,1.28120241863938,-0.7265994137478703,-0.32928719623249314,-0.25393602166143836,-0.4609696309796826
25,1.137058926269922,-0.6586432328439585,-0.31061049499870175,-0.23834620131889192,-0.42272129520654195
26,1.003847302541755,-0.5922017893266114,-0.2922266808467096,-0.22268476979989268,-0.3853142561932961
27,0.8810862913166481,-0.5275825329078829,-0.27422869450177884,-0.20707031906407827,-0.3489100456822929
28,0.7682875554016269,-0.4650401320888094,-0.2566948042741981,-0.19160622670738203,-0.313642644210524
29,0.6649583619684791,-0.40478136702273204,-0.23968993641269876,-0.17638184833068063,-0.2796210601885035
30,0.5706044973711834,-0.346969767294102,-0.2232669278503848,-0.16147366035750615,-0.2469317483910829
31,0.4847332552575964,-0.2917299822959521,-0.20746770261523748,-0.1469463493630479,-0.21564087431563292
32,0.40685625724521923,-0.2391518790566529,-0.19232437409777756,-0.13285384721338026,-0.18579642997421345
33,0.3364920507332181,-0.1892943686104729,-0.17786027501847343,-0.11924031092927562,-0.1574302063718263
34,0.2731684190696015,-0.1421889654847907,-0.16409091733058848,-0.10614104737863836,-0.1305596277708826
35,0.21642439764977225,-0.09784308748962844,-0.1510248843236174,-0.0935833830766217,-0.10518945291537268
36,0.1658119920708816,-0.056243104551381685,-0.13866465739864095,-0.08158747991446538,-0.08131334847745793
