h,EPU,SP500,FEDFUNDS,PAYEMS,INDPRO
0,94.58885674805076,-2.282171149431955,-0.012655627148013996,-0.0007386305690892205,0.11710283079324382
1,57.83922541599805,-2.644410148165117,-0.11968882510908974,-0.007874708276412835,0.1640893679207725
2,34.88148537737086,-1.0885461100622282,-0.17681133115260958,-0.033840137750186,-0.02525166679950885
3,26.002198300755275,0.39751354800318295,-0.20362542863930147,-0.0541998363139378,-0.1978995713260816
4,19.502080849365584,0.7600248582571539,-0.22404328388000952,-0.0707437496369987,-0.2510373536818261
5,15.271328709653698,0.8267385565750882,-0.23926693074795605,-0.08588101430920185,-0.24358042857714654
6,12.76022094102763,0.8854044531385536,-0.24082854240296192,-0.0982600218003386,-0.22985471594703483
7,10.82005049000992,0.9586362031126903,-0.24336870173516104,-0.1080512723431232,-0.2258511202254403
8,9.52321748325424,1.018614084475552,-0.23910646608493655,-0.10788330251843267,-0.21311678306958867
9,8.342493198318037,0.9773806199454632,-0.23305809632524024,-0.10619083856325928,-0.18623758112575425
10,7.482309401916825,1.004221108774435,-0.2236545585470703,-0.09937627344904633,-0.17663176938252165
11,6.9362061282719925,1.0477738693370802,-0.21179673261735824,-0.09352533151602271,-0.1384651844164524
12,6.494761707908916,1.1239252735919973,-0.20365217472066288,-0.08781339507825152,-0.10263851533875326
13,5.97974318046794,1.1721090620424321,-0.1913017917498144,-0.07589483141606808,-0.06770698112565164
14,5.50826681485131,1.2680687778900634,-0.17584048128994675,-0.062051506474396584,-0.03224451214700015
15,5.121754809573079,1.378997422903815,-0.16519251136519783,-0.048211160013579835,0.0017611587447494547
16,4.692264995171697,1.4061196358152928,-0.15017763913050364,-0.03267401341381117,0.040557936712151986
17,4.234466284173234,1.504491310158807,-0.13187635661606567,-0.016624558428046096,0.07102089098100027
18,3.8975682735359034,1.6027958880388127,-0.11860732437023906,0.002317783224417616,0.11279730126218791
19,3.6094343664597424,1.7101429989343278,-0.10124701396542994,0.02269216733246973,0.1572385314677212
20,3.3390607555162912,1.747209144361236,-0.08531255189500879,0.03904078715930468,0.21395062335641296
21,3.1906875781866195,1.8387453344015878,-0.06886223141948168,0.06021177202499939,0.2434060964190303
22,2.988369311060897,1.8904335919735327,-0.05375509014981787,0.07522794163575237,0.2778221918287816
23,2.791084253572322,1.9596414159253137,-0.03864996127275004,0.0886279706167609,0.31565614583764345
24,2.6583161055421263,2.0209256339139277,-0.025820955599864904,0.10451754013160001,0.352393621721998
25,2.520750440183633,2.0907454211407686,-0.012366925580021608,0.129282911082446,0.3911675567072882
26,2.286934103779094,2.1412084108866734,0.0005879652962370808,0.15077967371413464,0.4247669315665852
27,2.1008565696740478,2.2083090748795953,0.01045644392597846,0.16174676185182474,0.46218598554106377
28,1.897794526499696,2.2588651480007913,0.02039483583522074,0.17546256664648152,0.4994770635698299
29,1.8085416932573888,2.296446762086603,0.028754882585661636,0.18769511267545894,0.5239423006734197
30,1.7198989229292692,2.3522016428555297,0.037391218552249916,0.20047178753854988,0.5499732166080483
31,1.6370928028742775,2.386511742052544,0.0464152758166333,0.21573122411800164,0.5783210659302042
32,1.5038421045514165,2.4002564456743807,0.05289917825346401,0.2296726276185971,0.5993273416661242
33,1.3599617600860399,2.424162595435338,0.056373584144782406,0.24219951678775986,0.611026445328988
34,1.2694650266449559,2.4476325541398882,0.06401232425247316,0.25198290560038944,0.6443025881355566
35,1.1900315710191756,2.460401117777322,0.07055345718353168,0.2602928546216947,0.6490813499944592
36,1.1126368159177285,2.4802792572052565,0.07574576373042673,0.2670819981122549,0.659246120515192
