h,SP500,EPU,FEDFUNDS,PAYEMS,INDPRO
0,0.0,68.80709382207844,-0.09857751363691697,-0.04681813927091569,-0.42156522357877846
1,-1.5632036105414084,32.85587230294307,-0.25303673641806984,-0.0695012610439362,-0.43003936860860004
2,-0.37721909074743004,12.77202749281725,-0.35346526298013736,-0.11131012676846527,-0.6642554642777823
3,0.012277565967378602,6.225872773646369,-0.41607918602294897,-0.1533618745889578,-0.849258722698603
4,-0.31065047881418817,2.779469547624759,-0.4654328210788928,-0.19341337059290198,-0.9530274062885893
5,-0.48112030569945946,1.6042772102010183,-0.5166118605512048,-0.23517591575665614,-1.0286177235647498
6,-0.6194906112954784,1.5591054541030653,-0.5649788227916933,-0.264060047021006,-1.056452229604803
7,-0.6891558890432514,1.1552968131386148,-0.5947018751623476,-0.2958403875001092,-1.101945040193297
8,-0.7328996428166428,0.6509171036305234,-0.6127384604181251,-0.31433932247374285,-1.0980954656557171
9,-0.8388866539751098,0.3507996523589095,-0.6315946791180606,-0.3301346371310404,-1.0963955117695414
10,-0.9043719523885615,0.04929593592514259,-0.6450271947714663,-0.3470464976263384,-1.0888724831004348
11,-0.9338588655420815,-0.32128124036092753,-0.6428091962925696,-0.36301402610828565,-1.0770328546781307
12,-1.0083700820274462,-0.5538371416946832,-0.6449106025137247,-0.3653742852811143,-1.0468854481791456
13,-1.0195993121830793,-0.767592838285065,-0.6441530158833421,-0.3694819721682296,-1.0106322932300145
14,-1.0370138855530615,-1.0154462712708874,-0.6414811939888109,-0.3599983607261373,-0.9786210072333807
15,-1.0191522582639843,-1.1918047536040863,-0.6316393068756175,-0.35707382802998366,-0.9422310655358083
16,-0.9873507382500372,-1.2416289339160724,-0.6231176122749078,-0.3519683390039252,-0.8984347302904035
17,-1.0136853064758586,-1.4547287624628429,-0.6108928454371286,-0.3525818922556893,-0.8645211613376458
18,-1.0075410803138067,-1.5816710052837573,-0.5976532589371095,-0.3421236756149163,-0.8172052621769224
19,-0.9594922419501157,-1.6006258955901091,-0.5746048928003341,-0.32763367907502405,-0.7622867233911871
20,-0.9569094894581389,-1.703483763369207,-0.5518265646828481,-0.30648488585033323,-0.7066157460709412
21,-0.9164526903014808,-1.7394749302004961,-0.5287425620038425,-0.28741900908708795,-0.6679817564235513
22,-0.843110109318874,-1.83949127152017,-0.5078810831490116,-0.27167678822156455,-0.61478040435904
23,-0.821080611912731,-1.8875355356379926,-0.4972528254620338,-0.25272763220532224,-0.5796121761266594
24,-0.7960403600921306,-1.9740367377421413,-0.48277061863480114,-0.2447661951434358,-0.5322531682035035
25,-0.758639053760045,-1.9991509871666504,-0.46545532967870706,-0.23329440586136904,-0.4940247252531251
26,-0.724849657951058,-1.9918233373890843,-0.45083683379222045,-0.21764470964782745,-0.4746316601849251
27,-0.6672957983720835,-1.9427078938279316,-0.43014099577267045,-0.20148905381058446,-0.4296259361600203
28,-0.6032347064893676,-1.9358128002575792,-0.4139948118418042,-0.18024043539864545,-0.38703462926508503
29,-0.5381009844032549,-1.9285976892621715,-0.404036142610354,-0.17078968658670293,-0.34326871214737625
30,-0.4928427311945102,-1.8640904024382365,-0.3833481928800881,-0.15430388219147323,-0.31273738429567444
31,-0.44976776789110684,-1.7902897614421855,-0.36360386412938484,-0.14087029260966694,-0.29514154865692077
32,-0.41094131641278936,-1.7010722589475336,-0.34680107819091005,-0.12410382821831747,-0.26454224744161575
33,-0.37215341230802357,-1.6505825880310436,-0.335451957112045,-0.10358837646922094,-0.24723794599060664
34,-0.33491225387714424,-1.6648405743218784,-0.3232677277546199,-0.08699015807582977,-0.22502788624797845
35,-0.29715670763135904,-1.5898153068935448,-0.30869941827584757,-0.07720270593843438,-0.20155266313618664
36,-0.26145023995954186,-1.5342770867087,-0.29881785723179954,-0.06768431833706351,-0.19084909532879818
