h,SP500,EPU,FEDFUNDS,PAYEMS,INDPRO
0,0.0,90.55631834381472,-0.012599647081639707,0.00033163478164187425,0.06683730056529336
1,0.6610460053364577,50.84260940551836,-0.1059496431222419,0.005325127022206558,0.17819340953057705
2,2.667630173132656,30.013851509709205,-0.15755507071057484,-0.0021654616394627714,0.03405839887477618
3,3.6823051207188984,23.181691900782397,-0.1844618890733473,-0.009268255780038086,-0.05718240809884837
4,4.031764805696904,17.832261398063853,-0.198251694856107,-0.008008355403470009,-0.06053625947859551
5,4.024600848013781,14.411971108200767,-0.21121470483180846,0.0027780921584917156,-0.03929841609404506
6,3.906375270595609,12.588089086091557,-0.2180678630051572,0.013060400998653255,-0.015292460677304429
7,3.7986769625580163,11.206169614705223,-0.22457961713569555,0.020042311629497944,0.01802571287255311
8,3.806644572800288,9.51401582638929,-0.22268509695427516,0.03439932830093401,0.05640315428434899
9,3.796206130214649,8.544630427518973,-0.2157834864079746,0.053395079897432335,0.09321257968999758
10,3.7694301923587163,7.7970067489937005,-0.20866835498323172,0.06911566842575377,0.14862108676134966
11,3.7737791898122346,7.145748766892289,-0.19797845639382372,0.09228084648347323,0.19795463610019215
12,3.8180565408579814,6.445307444952518,-0.18462911639314483,0.10832668667025575,0.24934098037837413
13,3.89515556623965,5.925735755309975,-0.1699843664517066,0.13111516223120875,0.30205724385102284
14,3.9130467329341894,5.458109444394827,-0.15829820792812754,0.14813395142041644,0.3538720118072539
15,3.887340653972112,4.835458212247361,-0.14944786126059284,0.17008785500173443,0.4041025728847371
16,3.915009569116055,4.575681190654328,-0.1351168541678001,0.2002066556926307,0.45132718686425477
17,4.034745408554186,4.185689993802926,-0.11292952224355057,0.22881092962316488,0.5045303377248394
18,4.160916275928903,3.9423504654347292,-0.1019035802220561,0.259646452855037,0.5483710325426543
19,4.18874637563788,3.7343669573278335,-0.09013295670772838,0.28238457724199184,0.60747737230222
20,4.2752147110178305,3.4567599321459683,-0.07918888070220428,0.3081552645409846,0.6427032695830969
21,4.331883560048097,3.3010415783829123,-0.06035514391044703,0.32952182429524274,0.6761307426334607
22,4.456196155048019,3.1050975906084264,-0.04651508423417211,0.3533811785620236,0.7051805177387759
23,4.527128916610921,2.9195350040462715,-0.03360000174185469,0.3739767504828477,0.7519775614472984
24,4.576062347942774,2.748905587228092,-0.026017947262225317,0.3898902604353788,0.814185542498299
25,4.5948128437770945,2.670249097469425,-0.017138327191775486,0.4098584607428812,0.8835622198760622
26,4.662283217457325,2.5838764932902913,-0.009811962629730032,0.42197869581840675,0.9429565127850068
27,4.750309020460999,2.434713985271131,0.0008703999301842883,0.43849327015333556,0.9805825469500977
28,4.834829621840758,2.3280855736578845,0.009569956806313345,0.4613215240796557,1.0127808259727709
29,4.91652956136856,2.2103771827019614,0.018214715683147285,0.46749605558565077,1.0460821885425717
30,4.994015358448214,2.101997142576308,0.025784117019026363,0.48335176423536,1.0754506666222146
31,5.048217469504552,2.0114917143925717,0.035220766975404015,0.5019482030183039,1.1056566020198255
32,5.09630887382758,1.8968401521117961,0.040851292206588445,0.5198527411472957,1.1233790880268903
33,5.072779882292014,1.8206915932014045,0.044942851816988295,0.5376038547587795,1.1529982567846857
34,5.028338387478448,1.6916560215399652,0.04901853955026376,0.5500854316820615,1.1780573555670784
35,5.004644274388201,1.6007217088869767,0.053287864701787806,0.5685144247225868,1.1990574827886606
36,5.063483871165794,1.581986722633081,0.05740082816305775,0.5728930890908106,1.2295500828374462
