h,SP500,EPU,recession_attn,FEDFUNDS,PAYEMS,INDPRO
0,0.0,0.0,0.26322346206253244,-0.08810125913800515,-0.013968586197169359,-0.10421509083666884
1,-0.506408803498306,6.586037747962804,0.1341202885622635,-0.18863463018307458,-0.06509159860419839,-0.40309410637596416
2,-1.4991215263808113,16.89038226580053,0.11518910884034893,-0.27967511095689296,-0.10993346901443085,-0.5154400491625465
3,-2.0058637085034032,7.5477590465911675,0.14559183833032954,-0.3432502312796166,-0.16444269370812337,-0.5983191844941154
4,-2.226098359696344,7.4100614307739034,0.11908842818360273,-0.3950067457173404,-0.2242579453153303,-0.7687937103955088
5,-2.505042962851644,9.720653437761296,0.10582357090099707,-0.4434228359592996,-0.2797655469721955,-0.8897135324946929
6,-2.815845402566153,7.977640059906211,0.10513932139132492,-0.486942424599705,-0.33353815812904164,-0.975363216297617
7,-3.04871241804416,7.504506212294294,0.09478467447604265,-0.524794555944237,-0.3851376543017111,-1.0652739499789217
8,-3.240743639260831,7.751483339208368,0.0856993567867153,-0.5573861054334907,-0.43247032319032885,-1.1417111419408759
9,-3.414912610279462,7.260829099143422,0.07946101886082536,-0.5850890432751742,-0.4758254200644221,-1.2021055148322444
10,-3.5596074989864253,6.922189001377168,0.07180268541029641,-0.6079750117773277,-0.5151550252396739,-1.2542920372448167
11,-3.6781482299721073,6.754277040909452,0.06433619437739738,-0.6262226931427701,-0.550102232229374,-1.296401526375967
12,-3.7753909913738863,6.4574155698613325,0.057621821398973934,-0.6400474641780233,-0.5807389366143467,-1.328157097098954
13,-3.8506159573070016,6.167762518388259,0.050869314825508716,-0.6496687685626195,-0.6071691325007597,-1.3514318453185856
14,-3.9052996470629626,5.909833109330718,0.044302154649890436,-0.6553203441044356,-0.6294394637445001,-1.3664621337953462
15,-3.9413360345516573,5.6257893650989335,0.03807741578403933,-0.6572452948223944,-0.6476917845522491,-1.3735713615091907
16,-3.9595690830550083,5.335812531341397,0.03206255183997315,-0.655687121979919,-0.6620927350988566,-1.373538088319241
17,-3.9611690620625017,5.0487579254379655,0.026290195517145207,-0.6508929709687014,-0.6728074624699224,-1.3668592966185302
18,-3.947443470023965,4.75494276005351,0.0208030476379155,-0.6431102037596319,-0.6800231940354966,-1.3540032964306163
19,-3.9194913439246695,4.458000474434098,0.015584449012048578,-0.6325839386985715,-0.683938186876069,-1.3355216186789496
20,-3.8784388911945435,4.161229418601148,0.010641795184844403,-0.6195565272188809,-0.684752939574566,-1.3119135070275156
21,-3.8254328949483947,3.8640149334852585,0.005987086287482718,-0.6042664239041589,-0.6826731320665405,-1.2836564518806168
22,-3.761565732021462,3.5678660057184763,0.001619712988516177,-0.5869469184677238,-0.6779068140300369,-1.2512333763260217
23,-3.687909882256462,3.2744882005501825,-0.002458857490354298,-0.5678254328272275,-0.6706615372989976,-1.2151079048907945
24,-3.6055197651213886,2.984753602760642,-0.006246837345164778,-0.5471227697685549,-0.6611438562416294,-1.1757263005749854
25,-3.5154145499424034,2.699787126091973,-0.009745869552160932,-0.525052406039438,-0.6495581282910317,-1.1335226954050188
26,-3.4185809930471796,2.420730682855425,-0.012958495126245816,-0.5018199395451947,-0.6361052284467466,-1.088914220934998
27,-3.3159727154377534,2.1484942363438937,-0.015888069067437508,-0.47762260455820676,-0.6209818122691368,-1.0423001852667322
28,-3.2085052760282258,1.8839430997401367,-0.018539455405611006,-0.45264884753362206,-0.6043795614130977,-0.9940626271110468
29,-3.0970549525288327,1.6278781835877247,-0.020918542471705933,-0.427077989293661,-0.5864844624539907,-0.9445650679287386
30,-2.9824575587080275,1.3809831502312269,-0.023032087737707267,-0.4010799546465188,-0.5674762487681888,-0.8941519113482905
31,-2.865506596440446,1.1438569412400938,-0.024887774221404906,-0.3748150646022918,-0.5475279088445536,-0.8431482996739043
32,-2.7469522647986726,0.9170167098217896,-0.02649405695327857,-0.34843389284345944,-0.5268052532565352,-0.791859741672475
33,-2.6275007835368407,0.70088969186961,-0.027860047993420668,-0.32207718095159293,-0.505466564577701,-0.7405719094683928
34,-2.507813794939407,0.49582121513495253,-0.02899545313819569,-0.29587580808120006,-0.48366231147177097,-0.6895506213106936
35,-2.3885081109931687,0.30207914175936385,-0.029910475460233843,-0.26995081255842457,-0.46153492067486634,-0.6390418665692238
36,-2.270155723011427,0.11985558642735603,-0.030615724375745872,-0.24441346150918772,-0.43921860877262076,-0.5892719291284267
