h,recession_attn,SP500,FEDFUNDS,PAYEMS,INDPRO
0,0.3021342555216993,-5.421114149611759,-0.07407701099715354,-0.02072980973344235,-0.012135415271216872
1,0.18806974019835862,-6.573624137745177,-0.1957791807690347,-0.08850247270065607,-0.3169597232735846
2,0.15655273551823684,-6.769576159254447,-0.2803343997486903,-0.15234225560587786,-0.6469919196659268
3,0.16890063591333432,-6.624100199848285,-0.3495559831426258,-0.23805177932862437,-0.8489678162142421
4,0.142905482678228,-6.864338482742874,-0.41298152940611776,-0.3219257461048495,-1.0724770638082355
5,0.12693735143709164,-7.064545896428762,-0.4679002780751106,-0.4037254913212564,-1.249398534665754
6,0.11929834161445099,-7.135745909791893,-0.5160477547516599,-0.4822039590447092,-1.3986912299728684
7,0.10635323941886257,-7.217086159720888,-0.5590678735543771,-0.5558114861621117,-1.532383935666783
8,0.09471114990487547,-7.281124896571587,-0.5956116116030699,-0.6231122921572505,-1.6460583013467704
9,0.0849943010836882,-7.308175706617782,-0.6260341970535882,-0.6843306455689209,-1.7407207530519175
10,0.07496918079802141,-7.318017293841998,-0.65077706319718,-0.7390541684874563,-1.8199840763096435
11,0.06539336906558388,-7.309271081811194,-0.669898931967523,-0.7872581605354463,-1.8839715058527213
12,0.05648213120232804,-7.279053423741503,-0.6836516447223059,-0.8290894941354497,-1.933629409116754
13,0.04789317092984573,-7.23114877647954,-0.69235992191597,-0.8647280723748401,-1.97026971978621
14,0.03970565925329868,-7.166752599469056,-0.6962943632870474,-0.8943951397109426,-1.9947391831730987
15,0.03197092045957846,-7.086481573643938,-0.6957575240920685,-0.9183774586116888,-2.0079084735922508
16,0.024641897168042187,-6.9919742357541015,-0.6910688115435641,-0.9369737459976273,-2.0107158537457077
17,0.01772704817961777,-6.884592072413555,-0.6825412967968614,-0.9504992314957151,-2.0040113102873733
18,0.011237376624526615,-6.765540148610641,-0.6704901703423098,-0.9592814705851417,-1.9886240972099785
19,0.0051665831275423905,-6.636155421774774,-0.6552306846868208,-0.9636519228887093,-1.965374577860207
20,-0.0004860860749377139,-6.497722879629889,-0.6370726548160598,-0.9639424857511794,-1.9350506009064647
21,-0.00572132393760354,-6.351466236731246,-0.6163202439003584,-0.9604836781559098,-1.898413283514684
22,-0.010543889307326802,-6.1985911257479485,-0.5932707476700574,-0.9536015728867737,-1.8561992507703935
23,-0.01495931717177654,-6.040258452536242,-0.5682128308213821,-0.9436160040254279,-1.809115864999063
24,-0.018974278436463387,-5.877576618017277,-0.5414256373439691,-0.9308391627998321,-1.757840769408721
25,-0.02259724475196394,-5.711606061786484,-0.5131779677024354,-0.9155742585971339,-1.7030214766049603
26,-0.02583794727527148,-5.5433541426714275,-0.4837274495315129,-0.8981144586189155,-1.6452739825016525
27,-0.02870726640195755,-5.373772140025924,-0.453319934398539,-0.878742047050241,-1.5851820661597413
28,-0.03121723679315143,-5.203754919469051,-0.42218900961377204,-0.8577276994842653,-1.523296845253027
29,-0.03338086743082871,-5.034139660356213,-0.39055559372869314,-0.8353299011550421,-1.460136326889633
30,-0.035212008419454696,-4.86570504857482,-0.3586276447398294,-0.8117944904003276,-1.3961851977609443
31,-0.03672524667369576,-4.69917122352867,-0.32659996296615645,-0.7873543052973178,-1.3318948065786478
32,-0.03793577790187721,-4.535199892950716,-0.294654076370127,-0.7622289288860908,-1.2676832827425986
33,-0.0388592864070471,-4.374394747547472,-0.2629582075476146,-0.7366245256801079,-1.2039358153008137
34,-0.03951183471623854,-4.217302225128724,-0.23166731533121251,-0.710733760342014,-1.1410050804488274
35,-0.039909754710419444,-4.064412516282749,-0.20092320413467993,-0.6847357927259636,-1.0792117982118592
36,-0.04006954447455488,-3.9161608009397466,-0.17085469615786833,-0.6587963434148191,-1.0188454116009926
