h,recession_attn,SP500,FEDFUNDS,PAYEMS,INDPRO
0,0.32586633053556896,-3.764739207913348,-0.029349425529777866,0.0029113306577454624,0.18914205975798823
1,0.21304423135490738,-4.531906045433971,-0.12500592760846432,-0.04991369804002655,-0.06425766504554889
2,0.17895304157633693,-4.5328276138313015,-0.1871587822785184,-0.09713806294619536,-0.3479406696497968
3,0.18586770627712626,-4.257885501270761,-0.24103677112765906,-0.1637046211837663,-0.5348807141537567
4,0.1623726240756141,-4.299416698952789,-0.2933551715051057,-0.22953580680551902,-0.6975466171352476
5,0.14605921986890122,-4.290891546222106,-0.3296542127737273,-0.2917400748227272,-0.8089724658873818
6,0.13811503769244798,-4.091052260304637,-0.35940168097392716,-0.34102277263524705,-0.9007671035321205
7,0.12578463369850754,-3.853414398138229,-0.3821504793562961,-0.3880348568394195,-0.9658242363663696
8,0.11437176681935521,-3.670895080958371,-0.39322363257758985,-0.42071520978308796,-1.0129869994713974
9,0.10456521152023689,-3.480400035407345,-0.40641937668520617,-0.45179644657340573,-1.0301703522152847
10,0.09458290544997756,-3.3210893611877776,-0.40928415352450825,-0.47305671144546063,-1.0412499451790493
11,0.08484644646970091,-3.1832074176538487,-0.40835991626400725,-0.48893426023522196,-1.0539774948139244
12,0.07501268971326365,-2.9511091789194666,-0.400649957594614,-0.5003783993458717,-1.0483951913288454
13,0.0657432609025471,-2.8316753430540755,-0.3892335142253118,-0.506152132623328,-1.0195413174281975
14,0.05747858509120815,-2.668772847955506,-0.37450815893269723,-0.5074995414390038,-1.0054314888950122
15,0.048507580707339314,-2.4450625109446444,-0.36145124510931004,-0.5031499043404105,-0.9662012608194992
16,0.04033387944589095,-2.2949539900402836,-0.34065998950491716,-0.49848177488373485,-0.9153246980488157
17,0.03230089884396039,-2.12466063531317,-0.31894166143236213,-0.4911868311329988,-0.8667045421796153
18,0.025298622641477156,-2.004387437316951,-0.2969154102527945,-0.48180202021808266,-0.8379866980809229
19,0.01873279778266168,-1.842974705009254,-0.26730865075350124,-0.46945881677385054,-0.7630685230348647
20,0.013354759483855831,-1.7249027772731196,-0.23723995687021932,-0.45685389526338277,-0.7042727076546018
21,0.007825642622905667,-1.5844090573593348,-0.21522970391130272,-0.43480612131270785,-0.6475174165897303
22,0.0029214255593952793,-1.4905206892883593,-0.18667552891218417,-0.4138119747846319,-0.5946964237884749
23,-0.0007610979427842352,-1.374496610513957,-0.16256087988311704,-0.38765361164834966,-0.5444859694441893
24,-0.004432599803900363,-1.2535286410671145,-0.13488552671452006,-0.3476446884332999,-0.48586598456858604
25,-0.007566938556240766,-1.1123670899567202,-0.11570216334179657,-0.3226525907236595,-0.4351863605854135
26,-0.009672678283065284,-1.0377607889207021,-0.08331230182036081,-0.2950709835269298,-0.3596506744742175
27,-0.011274244243680103,-0.8335141131442221,-0.05144368131643844,-0.27247992767489054,-0.3171891584069999
28,-0.012181056994340382,-0.6163760165218218,-0.027021169253653422,-0.25718184906751035,-0.26867189106884354
29,-0.012540189796991999,-0.533086182598285,0.0025753192737090814,-0.2307014456187574,-0.2053279821412693
30,-0.013514422862442494,-0.42210661333528665,0.030458667210861295,-0.20641505240486502,-0.1663492250057087
31,-0.0135111870656118,-0.35371663262853326,0.058073735161338666,-0.17915257807054286,-0.13412018903632053
32,-0.013413970400959145,-0.2277536199633284,0.08736090023387567,-0.15860327922071107,-0.08972240002871903
33,-0.01310218355210754,-0.0841727547312404,0.10966535463502858,-0.14699074903107456,-0.05521124464051035
34,-0.01260271605360168,-0.0072943957167467335,0.13293287135229243,-0.12838723764173207,-0.01792140175482613
35,-0.012177560638262672,0.09168720884110401,0.15178205860783536,-0.11086468738956907,0.011416798914254282
36,-0.012148010658518123,0.17588457740755917,0.1733132874238026,-0.09448611971677004,0.037449975816555035
