h,SP500,FEDFUNDS,PAYEMS,INDPRO,recession_attn
0,0.0,0.0,0.0,0.0,0.23577891557996086
1,-2.2577986657557525,-0.11885840130076329,-0.06715301997431487,-0.4037714475235559,0.09555546149008295
2,-3.1888087107015592,-0.20016657736416282,-0.10110485601585048,-0.6466527891915526,0.0702800376208269
3,-2.9108260716227567,-0.2588185290307338,-0.15953964261142084,-0.7450050795844888,0.09823512916773636
4,-3.3890348842420996,-0.32573474896416504,-0.21784105838708126,-0.9410723035575969,0.07115692527570885
5,-3.8709589317121225,-0.38944193578743014,-0.28086543304187833,-1.0994780471692387,0.05706886405178255
6,-4.017983127822307,-0.4443318486222092,-0.3431318730848435,-1.2199578906830468,0.05480789081482963
7,-4.295750984228956,-0.4959461944997955,-0.4018146623361581,-1.3432734036018443,0.04477110573839637
8,-4.56626178083013,-0.5425719212059803,-0.455816141842167,-1.455920635212293,0.03684103432803533
9,-4.741465167849239,-0.5821698804156751,-0.5066413100901511,-1.5452734851834509,0.03052742320941115
10,-4.882463514121158,-0.6190458078239967,-0.5551737987742738,-1.6246985916277226,0.02423882667523288
11,-5.039495142891829,-0.6450020344576312,-0.596933111834506,-1.690561441238682,0.0186385471699964
12,-5.147334344072053,-0.6704149360298366,-0.638223527354919,-1.74378622583235,0.01333452017962228
13,-5.259554069356629,-0.6883289381905605,-0.6745179122176072,-1.770246981567146,0.008035675436627195
14,-5.258597824009641,-0.7046589944639511,-0.7000466499978906,-1.7977443346138864,0.0024146990031014256
15,-5.3614260881071765,-0.7172853020958132,-0.7273331885676187,-1.8094815465047,-0.0018059347441595813
16,-5.358556820370638,-0.7235018833868009,-0.7421593348964625,-1.8098800120632064,-0.005779509967825502
17,-5.294657846508257,-0.7282130349034762,-0.7546917838361803,-1.8166976307350877,-0.010399522540616686
18,-5.262856012221936,-0.7268967789350823,-0.762959420047591,-1.810463412576159,-0.01485334331732306
19,-5.220274275848121,-0.7198607179845715,-0.7687024795440608,-1.784495818842382,-0.017318585065683744
20,-5.245957840447222,-0.7126347187589851,-0.7735291359378106,-1.7592129226959072,-0.020365975728261494
21,-5.234089357430513,-0.7032155487787171,-0.7709737094651176,-1.726820806573147,-0.023053940185047854
22,-5.147406443648421,-0.6863227117068447,-0.7675228538640334,-1.7007665036388786,-0.025850044572278165
23,-5.059838754591452,-0.6662498247592215,-0.7603845407469748,-1.6688024564441435,-0.02922968983592033
24,-4.933236883345847,-0.6447523290457681,-0.7524208106395238,-1.6289939500662847,-0.031739597623803024
25,-4.76246743224991,-0.6201475026691604,-0.7428594381437716,-1.5842336675074542,-0.03383760093241195
26,-4.650846523248965,-0.594155465078461,-0.7285045732547664,-1.5350523930028854,-0.036381332479977234
27,-4.564908185211936,-0.567649065596651,-0.718148140947138,-1.4799561167662039,-0.03838506706553043
28,-4.478344075016899,-0.547174843418971,-0.7069443435723844,-1.4476929796354343,-0.04061026560686157
29,-4.332098432554217,-0.521433686247154,-0.6961747851586535,-1.4234913722960363,-0.04279573468210157
30,-4.24633728116945,-0.49366631185063087,-0.6738653798295294,-1.3716119712277473,-0.04386181697403547
31,-4.15503096755356,-0.46506280694722757,-0.6476992756267532,-1.3027356673948052,-0.045023133978595115
32,-4.045695509960248,-0.4418632268709764,-0.6341033886925225,-1.2468049569068098,-0.04537561970911259
33,-3.893308261517805,-0.41842820416305354,-0.6231448644703843,-1.203067851157777,-0.04625425008800826
34,-3.791870121449162,-0.39518782451841095,-0.6113917256588772,-1.1470931703410177,-0.047066185658764435
35,-3.7510123381354044,-0.36622201940345883,-0.5878322704429347,-1.0842739857367867,-0.04784624835896102
36,-3.647200250364575,-0.3414661090665351,-0.5613894999588079,-1.0437202763676143,-0.04778144293125642
