h,SP500,FEDFUNDS,PAYEMS,INDPRO,recession_attn
0,0.0,0.0,0.0,0.0,0.2981344290772772
1,-0.07374883665752156,-0.0422291648760962,-0.02301653610284502,-0.11788025616375325,0.15388379509572464
2,-0.22637210044678438,-0.0751837025027256,-0.033864734172291557,-0.25575595830270836,0.13080091138245445
3,-0.0465251828295685,-0.12166085523906621,-0.07271679428766215,-0.3532872375040845,0.15406085779888892
4,-0.13261974805346602,-0.16012065241893286,-0.1043932994721218,-0.44391202907305854,0.12872348374203174
5,-0.2362505402391715,-0.1903951310582689,-0.1346469662289891,-0.508948003589914,0.11681048443642587
6,-0.08216148764003325,-0.21737848793627892,-0.1599485780774643,-0.5415658207125971,0.11460875901792193
7,-0.12303565112601288,-0.23875310460140667,-0.17877239139346074,-0.5764188322984705,0.10450156277538439
8,-0.044202998821070795,-0.2537364795595962,-0.1987455278993639,-0.6032974678092765,0.09639185083425099
9,-0.022232613948786877,-0.26724393479172703,-0.2134616708608949,-0.6133281424210041,0.08944996535587774
10,-0.016807423038222323,-0.2743366052333202,-0.22604802361034004,-0.6140481702869666,0.08216961136058615
11,0.06016234041427949,-0.28279794041023937,-0.23009747075885648,-0.6012833115914299,0.07478077369872287
12,0.1365196575265475,-0.28430259237418976,-0.23144857460164536,-0.5912738588011934,0.0671045984210151
13,0.21956478321750458,-0.2836480864007961,-0.226898631515663,-0.5686777095509264,0.06061392018002203
14,0.26637673267278633,-0.27712905458252635,-0.22088171360046854,-0.5380788568811753,0.054019636250686946
15,0.320767585970417,-0.2691142214766039,-0.21721104235459635,-0.5063430840351301,0.0473877732324108
16,0.41008004742458537,-0.25824821403320075,-0.20989551950650184,-0.45541335677842854,0.04122711138835799
17,0.5368033911938777,-0.24662349043187534,-0.19844264398469807,-0.42105031216862737,0.03524814847233423
18,0.6133736598169881,-0.23317208771467196,-0.18418613618948892,-0.3792765301574275,0.02992414934237549
19,0.6230100517019905,-0.21715380770765486,-0.1669930448517478,-0.33910072710238087,0.024305127447002806
20,0.781642175603733,-0.2015638403184994,-0.15101692782433127,-0.29316544299759956,0.018844399465797534
21,0.8342218131654596,-0.18311040949835566,-0.1341684428659283,-0.2497919952826907,0.014950967828456573
22,0.9081922365678116,-0.16629437124618937,-0.11615427029604987,-0.19141381848611488,0.010988647103660364
23,1.0112265565274987,-0.15401398619290024,-0.09795005755053528,-0.14392763455551,0.007722437949023574
24,1.0593163724720605,-0.13718809017808004,-0.07163635420817005,-0.09792010787277915,0.004359943227764573
25,1.1004414426454308,-0.12139372425107524,-0.049521439640517265,-0.044731310682686515,0.001396486343664188
26,1.188260681789135,-0.10498636444464265,-0.036254408690420056,-0.009697976285904934,-0.00038019410592894274
27,1.296074138921163,-0.08925599747120354,-0.019477602721748314,0.035658492423503385,-0.002065940000168571
28,1.4003043193589753,-0.07059102997343156,-0.0033510893938531283,0.08045179802040692,-0.0037917736882385304
29,1.4563092813412357,-0.05050275864009732,0.01219192319926763,0.1234058233620213,-0.005405585607433301
30,1.5076708176927078,-0.03748781380193326,0.032234799772374714,0.15368152430939186,-0.006100384886300735
31,1.6034046935014619,-0.020487095517697288,0.05198056125059434,0.20830133813978924,-0.006526103871211562
32,1.6945343101130135,-0.008369240375716801,0.06483674199881805,0.2556532296477499,-0.006819933340110212
33,1.7617095258775493,0.005266175813415286,0.08263046551411893,0.29459262929633917,-0.007057276819007582
34,1.8154411319665613,0.024204546773320876,0.09474393851220368,0.32543658444341567,-0.007534869271187193
35,1.8994512895863418,0.03733800853942804,0.1079126745256323,0.36946716949618896,-0.007130180093376991
36,1.9215766914270476,0.05683033856667031,0.12202104591980581,0.38616689169054635,-0.00669002341556699
