h,SP500,recession_attn,FEDFUNDS,PAYEMS,INDPRO
0,0.0,0.23446685524075067,-0.14989020844829753,-0.03485558270507,-0.25890162745725515
1,-1.257026458808704,0.10343780348284452,-0.2994035049334522,-0.09854881744169751,-0.5984332738013565
2,-2.388497271614263,0.07047997183460433,-0.41810702908104486,-0.1575950475473972,-0.756522080564734
3,-2.58509211336873,0.09802908437551942,-0.5013870036371045,-0.217876446316228,-0.8765034675106838
4,-3.008053976271874,0.07778578818470779,-0.5616414970100859,-0.2806724633721424,-1.0425266175494918
5,-3.5047059789914594,0.06110874186124426,-0.6284351839161628,-0.3442452935858885,-1.1724150622956133
6,-3.8439335562620296,0.055752979465530636,-0.681715427329022,-0.4031901048457601,-1.2908507961805968
7,-4.1678732170336135,0.04675045572330435,-0.722781719365575,-0.4621725290927369,-1.3916033148114884
8,-4.369296546955677,0.037115443310742284,-0.7569258848044991,-0.5149582623884986,-1.4772329049067054
9,-4.6017624807883415,0.029821323744719373,-0.7912614738430591,-0.5609773698687694,-1.5530916109341695
10,-4.84827393413864,0.022199178084506613,-0.8075485959358547,-0.5978850298278425,-1.6132519675439347
11,-4.976615882432442,0.015106735946204907,-0.8264308431771179,-0.6286543776117671,-1.659740616297698
12,-5.152372972626977,0.008347097420310402,-0.844783184871392,-0.658592334755798,-1.6941167602428227
13,-5.185078968249667,0.001905230417803078,-0.8587475182837657,-0.6889322740422692,-1.7183415983033725
14,-5.241155873037843,-0.0036385116003281415,-0.8610717384998565,-0.7160544369471366,-1.716562977237995
15,-5.257552354189782,-0.008743809309974277,-0.860681121151142,-0.7386998093743045,-1.7157378589222911
16,-5.307569297364252,-0.013945756339620575,-0.8495231436834226,-0.7476622003131865,-1.6997379513245694
17,-5.381084164954187,-0.01801063523726387,-0.8437694880821324,-0.7520509233243967,-1.6806447123797434
18,-5.264084855596398,-0.021440759295472435,-0.8282376048825713,-0.7584962268756831,-1.655203582957625
19,-5.180512156734091,-0.026021434373398537,-0.8089271159859603,-0.7656324850038979,-1.6411367449606178
20,-5.162638876470031,-0.03025457554686234,-0.7896773509751738,-0.7618437748418286,-1.6105750995619392
21,-5.080242540991704,-0.03385996763605811,-0.7699303398300655,-0.7578107705448452,-1.579847566897422
22,-5.013542455648838,-0.0369685707246869,-0.7473229603393704,-0.7467844766873427,-1.5422566114284366
23,-4.955892278070987,-0.0394587595733863,-0.7159784205592076,-0.733881971579405,-1.4947206973118905
24,-4.92792400329901,-0.041749499033090824,-0.6884215212681197,-0.7235480784801556,-1.4705410104000227
25,-4.797688789439437,-0.04335890914118235,-0.6617932194304598,-0.7143698391465532,-1.4164899784182627
26,-4.76450946501382,-0.045650609080853215,-0.6286723890920064,-0.7029254429060784,-1.3692612322268054
27,-4.74561939311158,-0.046879476814151534,-0.5964191574320027,-0.6851966395552431,-1.3166076306953638
28,-4.558309249176831,-0.047422476533811014,-0.5683361911515814,-0.6646485237367741,-1.2683375065398084
29,-4.4066045667775935,-0.04881460832118955,-0.5405276130203924,-0.6512387533833465,-1.2158583046696938
30,-4.341013101217896,-0.0498467397594642,-0.5110382212317853,-0.6369888834103065,-1.162596427653672
31,-4.263591326201139,-0.05055148886459629,-0.4814499853366553,-0.6221056669362077,-1.1169560155142941
32,-4.17847368187252,-0.05064002701012992,-0.4464323576473371,-0.6058306927144672,-1.0622999070029278
33,-4.027280856389132,-0.05093496277073885,-0.41995323168962556,-0.5956624374452602,-1.0231834675606073
34,-3.885754028611726,-0.050638324634566564,-0.388599301077713,-0.5635454698565047,-0.993477886385338
35,-3.722802390708905,-0.05004583454636044,-0.35884580176414704,-0.5409925409451635,-0.9434106872743381
36,-3.6378133175260325,-0.049883744154371024,-0.32279291883361655,-0.5196477699894724,-0.909574534844772
