h,SP500,recession_attn,FEDFUNDS,PAYEMS,INDPRO
0,0.0,0.25766154815674147,-0.09999834506414496,-0.015492448491301786,-0.10016315910634276
1,-0.3781265530348067,0.13417418888732724,-0.22006644943436718,-0.06535796794470988,-0.3737181321726137
2,-1.038859724722526,0.10512727187771884,-0.3174836837870926,-0.11198344382490207,-0.512287263742017
3,-1.2479798557607646,0.12683915831888018,-0.3760421351785467,-0.16526363693774007,-0.6284788808056616
4,-1.4676929859310557,0.10998387661016178,-0.43161302114107236,-0.22029533082496444,-0.7693719927839672
5,-1.7240633854650913,0.09721290574559911,-0.48425321542981237,-0.27222411188724904,-0.869544765273109
6,-1.9138116991664682,0.0921838303573792,-0.5276460271827789,-0.3209514199372941,-0.9543310215998628
7,-2.057183894537226,0.08370487691160879,-0.5654723640171442,-0.36623175791502977,-1.029987057231381
8,-2.180973176304683,0.07518692766761226,-0.5981153119106649,-0.4070422348578531,-1.0915418238090633
9,-2.279622647992378,0.06786360507244006,-0.6251332901290262,-0.4433596191136049,-1.1402943132815526
10,-2.35567373531259,0.06052581600942218,-0.6469313298512159,-0.47508230765194953,-1.178429269770681
11,-2.4129874842997423,0.053358035213878066,-0.6638318978161132,-0.5021967489089788,-1.2060682614228846
12,-2.4528204639713826,0.04656668295359613,-0.6759955771229986,-0.5247717083245986,-1.2239357841906013
13,-2.4766204167677284,0.040044073285728836,-0.6837018439645547,-0.542953745830595,-1.2328529742994163
14,-2.4860026867962004,0.033795681073697695,-0.6872333756037274,-0.556905651871814,-1.2334616805138914
15,-2.4821497732666957,0.02785406870522734,-0.686861726261563,-0.5668285523093672,-1.2264089997270222
16,-2.4661941232487585,0.022215421872729558,-0.6828687592739273,-0.5729418273014129,-1.212359445400504
17,-2.439247628377225,0.01688244107335149,-0.675539942237533,-0.5754787751534509,-1.1919400251060028
18,-2.4023421526389743,0.011861686842906696,-0.6651568560474765,-0.574680909228832,-1.1657630226254743
19,-2.3564583327301936,0.0071548229282912415,-0.651998723529823,-0.5707951772217266,-1.1344263329719757
20,-2.302542725774019,0.0027622902550854043,-0.6363402916433066,-0.5640699385807002,-1.0985077309728402
21,-2.241501402275518,-0.0013161743422190721,-0.6184499917194618,-0.5547529178087793,-1.058564509430762
22,-2.1742029937577905,-0.005082564741320484,-0.5985889227750044,-0.543089060021507,-1.0151333452011766
23,-2.101480417667267,-0.008540275498733998,-0.5770099005834208,-0.5293189269567141,-0.9687285576852246
24,-2.024130194813033,-0.011693907139159174,-0.5539565135876967,-0.5136773173751255,-0.9198412977080809
25,-1.9429120204327612,-0.014549287960746537,-0.5296624371252998,-0.49639218101414045,-0.8689388370540785
26,-1.8585484794808063,-0.017113367010276142,-0.5043508503876734,-0.47768369010308614,-0.8164638977219014
27,-1.771724440283035,-0.019394093305156006,-0.47823396113084177,-0.45776349628566315,-0.7628341553260377
28,-1.6830865785596747,-0.021400322048990537,-0.45151264067987074,-0.43683412189838206,-0.7084419235420385
29,-1.5932430336101269,-0.023141710000240425,-0.42437615779632426,-0.41508847739232224,-0.6536539621606179
30,-1.5027631853523562,-0.02462860878981819,-0.39700199837832617,-0.3927094857058623,-0.5988114320863601
31,-1.4121775872933684,-0.025871963392857206,-0.369555767771383,-0.3698698044773913,-0.5442299853275437
32,-1.3219780726112633,-0.026883213000287818,-0.34219116779404274,-0.3467316344127589,-0.49019997960089406
33,-1.232618024853458,-0.027674195006543587,-0.3150500421532502,-0.32344660625893457,-0.436986808955413
34,-1.144512812561671,-0.028257053503584588,-0.2882624843711815,-0.3001557385864402,-0.38483134210291636
35,-1.0580403809055947,-0.02864415233587073,-0.2619470026312076,-0.2769894599291584,-0.3339504581089317
36,-0.9735419902907577,-0.028847992945576044,-0.2362107360018696,-0.25406768916181544,-0.2845376701578307
