h,SP500,recession_attn,FEDFUNDS,PAYEMS,INDPRO
0,0.0,0.2835408960311655,-0.04878233238456502,0.0034976529070439646,0.05547241955187168
1,0.5248796467379696,0.15745340157282375,-0.1302153620402284,-0.03410161932969826,-0.1437762903356938
2,0.3017817147343846,0.1321767566125776,-0.2007626649600481,-0.06879909664088367,-0.25001742686139167
3,0.09934337236258105,0.14570992938601618,-0.25217826470027865,-0.11004505285114655,-0.33165567433054033
4,-0.004764514066676986,0.12950435044536604,-0.2947516153979192,-0.14671279530496506,-0.4202056654483787
5,-0.09104508875936461,0.11577185439805815,-0.3340856296374506,-0.17883682650295335,-0.4914216706683232
6,0.011923709160125383,0.11237355268776042,-0.36566186259174205,-0.20819835609206067,-0.5411954121223729
7,0.03377978292183422,0.10430767743939758,-0.3833692199832109,-0.2360917337720387,-0.5704819160731246
8,0.015659378010950648,0.0948664766155076,-0.4063685973426997,-0.2548856712714039,-0.5741393017908623
9,0.018211066590740767,0.08734545981941266,-0.40810609432986855,-0.2706893936608846,-0.5499836241858833
10,0.06194899384108261,0.08023609707772383,-0.40596736393088634,-0.2753488620397708,-0.5438048751640706
11,0.18768842763633156,0.07164086167275163,-0.40121756794491503,-0.28123625494299276,-0.5280828627342148
12,0.2427126420070812,0.06411035893374341,-0.39472886396097634,-0.2837936223623216,-0.4982697164737902
13,0.3108548219693255,0.05744301781722387,-0.3836178382363056,-0.27873419848665215,-0.4426004252952447
14,0.396733808193488,0.050155118316629395,-0.3732085228243215,-0.2737759681217461,-0.38876799574764836
15,0.45023177427564953,0.04378440712245272,-0.3611613133809653,-0.2663950290083107,-0.32798511623674437
16,0.5784425886644652,0.03732038580777856,-0.34253082908333377,-0.2520397087861368,-0.2960683716268119
17,0.6590688683376792,0.031971821104506935,-0.32529682969696844,-0.23246267357572437,-0.2682634859767402
18,0.7823798010405281,0.025183737537577352,-0.30764567986651625,-0.2136417293723392,-0.19469032927345567
19,0.8592173703350218,0.018853233867485865,-0.2878315425128052,-0.19067870505360685,-0.14579180590832416
20,1.0356611342921795,0.014151132700935955,-0.26421685227913955,-0.16297397414870665,-0.07477844937885271
21,1.1948447188492075,0.01000455180436091,-0.2402570954863387,-0.14299461186769058,-0.028588577761618137
22,1.3492752826297332,0.0058274022734311004,-0.21473538970417755,-0.11684421667383818,0.023100048289336168
23,1.4964848456683628,0.0025085911360701245,-0.19376494867685107,-0.09639854016235191,0.07370563350668975
24,1.5834244683073346,-0.0006052521197634441,-0.17153286377633084,-0.06940853118827783,0.1268856209252025
25,1.6893780744180455,-0.0028195645281957004,-0.14107802252340826,-0.04915133592149877,0.20106504258232136
26,1.7609706703068,-0.004563702900135882,-0.11443236375871096,-0.02679276994119952,0.26675651711479
27,1.821070516414662,-0.0059858298958334255,-0.0952157652649246,0.008891798977031212,0.3161241011557617
28,1.8508572518503525,-0.0072771157438968935,-0.06942057726456323,0.0372515942968086,0.37399164990121464
29,1.9834388699907695,-0.00791562806185214,-0.04917595056804855,0.06602106788576739,0.45277439087344606
30,2.050601791799124,-0.008001989661584432,-0.032730057194868344,0.09522615260326882,0.5103459277071898
31,2.1388696091618984,-0.008634352966630003,-0.005829317927777488,0.11898372981207656,0.5635604925914472
32,2.2231792604629126,-0.008764899866583836,0.020738878419372147,0.15594657712647994,0.6065674303464046
33,2.33598994098648,-0.008785061358958249,0.042149976669017056,0.18216268937840016,0.6356438741184631
34,2.3684034385652444,-0.008707824655470974,0.05988675784830854,0.2075381219195981,0.6719526194925706
35,2.488958103560128,-0.008277884022462462,0.07636606295354986,0.22971442096000705,0.7113190658540486
36,2.520290834571826,-0.008248538404371952,0.0942887983545694,0.2510934354183541,0.7461281842192754
