h,SP500,recession_attn,FEDFUNDS,PAYEMS,INDPRO
0,0.0,0.24182173765568826,-0.15148183166903464,-0.038621599208758725,-0.2702875842927271
1,-2.2452333343558353,0.10169943543315989,-0.29588247284930874,-0.10357996964873137,-0.566201178650143
2,-3.323723109687343,0.07955033628539791,-0.3832081985632675,-0.15650245991126507,-0.8290558161078931
3,-3.2257391612622888,0.1079427189748123,-0.44509423889960464,-0.22470116735372303,-0.9691703945028135
4,-3.770582606845184,0.0798741187043211,-0.5224519070159744,-0.29331401391191586,-1.14282659631115
5,-4.245732285204028,0.06512017916116014,-0.5838645683464068,-0.3577765979774772,-1.3064621266812249
6,-4.487492816950141,0.06048338482136792,-0.6393521092810721,-0.4205081058078489,-1.4289394101177082
7,-4.786119866308016,0.04883434804615583,-0.6858601145854621,-0.4814223989088,-1.554207433397966
8,-5.029005017421102,0.03911252347160157,-0.7293106323706741,-0.5386420640983971,-1.6582506734966256
9,-5.2390720650864235,0.03250321236609229,-0.7685940117213089,-0.5877612493664514,-1.7342983153962437
10,-5.453197040529245,0.024136261518525715,-0.7994364732264482,-0.6335837160030596,-1.7899879975674087
11,-5.498143980797882,0.016828049742030074,-0.830756715605863,-0.6738530064022762,-1.8246206384052677
12,-5.5689032769271245,0.010333006745416373,-0.8513220632105255,-0.7129912985387078,-1.8767844573051857
13,-5.638393982872343,0.00325294603689558,-0.8660879515107698,-0.7525354917071649,-1.9130282890826875
14,-5.742385492673782,-0.002791723058652267,-0.8770054841300577,-0.7824773787086692,-1.9333889190795301
15,-5.714442995356417,-0.008753921096595904,-0.8813515427212162,-0.7997813997866791,-1.9435925133437917
16,-5.760028020547024,-0.013636447239461748,-0.8859538061442627,-0.8175155262450176,-1.9367801352270129
17,-5.796933751145275,-0.018502362915216806,-0.8752672144638594,-0.8278441092787254,-1.919951746781809
18,-5.747983968280225,-0.02212551324055766,-0.8700879380944149,-0.8331751477196572,-1.9048011928387913
19,-5.683462473228842,-0.025996733281325915,-0.8622538258553958,-0.8427859008680283,-1.8856712379163019
20,-5.6071254907744725,-0.028873222591041452,-0.8436557086188566,-0.8419826750030207,-1.8578981238991394
21,-5.493180686638961,-0.03242899683753539,-0.8247528289518343,-0.8312581402583137,-1.8472269941228783
22,-5.363373182259965,-0.03527466584884087,-0.800295892685054,-0.8225156704667561,-1.8132936308565653
23,-5.251381590214345,-0.03771446115915449,-0.7753922760093668,-0.8089065789370901,-1.7642690628328352
24,-5.171732985727988,-0.04015449309937216,-0.7458214438500406,-0.7962297016774721,-1.723822305568912
25,-5.137833329103798,-0.043698887863065264,-0.7196995214205126,-0.7804022281909132,-1.6793846476105876
26,-5.02753830961659,-0.0462534055402196,-0.6919818895794315,-0.762276575585876,-1.6194040594883476
27,-4.9014404170791455,-0.04884456940788926,-0.6647730634745544,-0.7425461388906842,-1.5385521862355767
28,-4.752076316310211,-0.05056550190475665,-0.6400535708607803,-0.7118073567894055,-1.4986720890616214
29,-4.640096286917529,-0.05171512463159152,-0.6112979343295774,-0.6911135241595698,-1.4201622003977967
30,-4.5223309819548305,-0.0524562434413891,-0.5783416398489184,-0.6759293853897592,-1.3695126804669226
31,-4.396077234905811,-0.05382304236613759,-0.5449181155781396,-0.6428486659062602,-1.3163547208232973
32,-4.26627191216368,-0.05455040233668464,-0.5177814121074421,-0.6199326585085135,-1.2597986985519836
33,-4.154058180096943,-0.05529678476809178,-0.49415192703609345,-0.6066668982092338,-1.196170628461834
34,-4.072264866252474,-0.056181663061348974,-0.4628912247114487,-0.5817547926957184,-1.1372329099712555
35,-3.963705016240686,-0.05650300112951558,-0.4280348493994451,-0.5657841118585755,-1.098797755556081
36,-3.8788370504795244,-0.05660417493604549,-0.40532695819711345,-0.5472925841348554,-1.0343270592236227
