h,SP500,recession_attn,FEDFUNDS,PAYEMS,INDPRO
0,0.0,0.2727935550155348,-0.10260652817280345,-0.020220437328082173,-0.08708108899960305
1,-1.111771413190854,0.13395684959166818,-0.22400241240822158,-0.07196877371218045,-0.36952659659676107
2,-1.7429739215742517,0.11116297740781445,-0.2944782017322897,-0.11172313585383795,-0.589297689795877
3,-1.6444312067971365,0.1400562530901414,-0.3555690898460282,-0.17193769785171284,-0.7027407476703208
4,-1.9440240071366808,0.11491380723078609,-0.4162905872601248,-0.22844469445503324,-0.8601377349046685
5,-2.2153848180536455,0.1014419315610167,-0.4682340414509537,-0.28228035973751653,-0.9773906826787812
6,-2.332713821455334,0.09848786256407553,-0.5136958970767165,-0.33391765556297015,-1.0710936437453036
7,-2.4732290280334683,0.08806824144269983,-0.5549629253781933,-0.3818859351859192,-1.1571397763381441
8,-2.599929077344041,0.07874951227911807,-0.5903819200627164,-0.42493419383784936,-1.2280282385076575
9,-2.6855669704537948,0.07156017399859843,-0.6203351845189776,-0.463562292162238,-1.2841478930920662
10,-2.7555765755940933,0.06361786278685559,-0.6453373516273114,-0.4973863721457936,-1.329316307347327
11,-2.8080681969028216,0.05592921158212426,-0.6653625614788183,-0.5263624950484967,-1.3630131426584668
12,-2.838745490756389,0.04882213157342904,-0.6806194330288075,-0.5506249556090607,-1.3857811070012633
13,-2.8520479270154735,0.0418675164325982,-0.6914004549638488,-0.57029248289995,-1.3987389151874907
14,-2.8490816356468596,0.03517767903145692,-0.6979191415414258,-0.5855095155675872,-1.402430859607282
15,-2.8301113254163486,0.028831466617939058,-0.7004240855502715,-0.596483397394993,-1.3974617183098723
16,-2.79673161039125,0.022774508392662367,-0.6991839268466975,-0.6034257755782569,-1.3845521772469194
17,-2.7501826316154023,0.017022680553910003,-0.6944583485964065,-0.6065621145856168,-1.364332113061115
18,-2.6914960092300264,0.011595515559932512,-0.6865106781131055,-0.6061312414066248,-1.3374239982854434
19,-2.621883951547678,0.006489482299855166,-0.6756066033929227,-0.602376858716259,-1.3044590465739665
20,-2.5425064417425856,0.0017081889653985164,-0.662007944150143,-0.5955452046675667,-1.2660453085108534
21,-2.4544593313661056,-0.002744271472881681,-0.6459731053755841,-0.5858841602145617,-1.2227747222034926
22,-2.358834446649687,-0.006868767207917751,-0.6277561500495037,-0.5736404183976044,-1.1752260519934608
23,-2.25668741321158,-0.010666794528113347,-0.607604988749877,-0.5590579630618632,-1.1239586578860608
24,-2.1490287195240505,-0.014140880804782815,-0.5857606117764891,-0.5423768838635763,-1.0695118526174605
25,-2.0368309519204026,-0.01729548325008645,-0.5624563339562976,-0.5238321044139193,-1.0124044030071937
26,-1.9210231099306214,-0.020136314658548815,-0.5379169563730151,-0.5036523554411612,-0.9531327011947975
27,-1.8024872397199487,-0.022670229275484736,-0.5123581603216932,-0.48205933808967516,-0.8921697784012701
28,-1.6820583687437396,-0.024905275814732813,-0.4859859990206695,-0.4592669613179198,-0.8299646072616139
29,-1.5605230139913908,-0.0268505116076324,-0.4589964495648723,-0.4354807016795585,-0.7669413383266793
30,-1.4386180867184448,-0.028515876975537365,-0.43157506822173675,-0.4108970725865613,-0.7034987867593564
31,-1.3170306231981759,-0.029912108824096614,-0.4038967300851213,-0.3857031810665177,-0.6400101129775027
32,-1.1963975910316311,-0.031050622479904907,-0.3761254405077103,-0.3600763719208449,-0.576822624710272
33,-1.0773059524914685,-0.03194340179660894,-0.34841422059610583,-0.33418395449408206,-0.5142577351564512
34,-0.9602930687983328,-0.03260290022945817,-0.32090506070107105,-0.3081830041230037,-0.45261106648645394
35,-0.8458473177613504,-0.0330419415315967,-0.2937289357603482,-0.2822202340890672,-0.3921526777119771
36,-0.7344089221735922,-0.033273625259497216,-0.2670058788378008,-0.2564319334954344,-0.33312741274350177
