h,SP500,recession_attn,FEDFUNDS,PAYEMS,INDPRO
0,0.0,0.3028608538741455,-0.05069519538541839,-0.0007419208064723045,0.07258905615426231
1,-0.03490323812085708,0.15824280764620266,-0.14245110096054364,-0.037658886422095854,-0.14285292831858631
2,-0.3224121611993892,0.1379614105629986,-0.19001048844445528,-0.06201635785342164,-0.3118550620295794
3,-0.33141110944260443,0.16340956338622437,-0.24785909970382747,-0.11165336456686413,-0.4155628026278099
4,-0.33823378766367934,0.14048632600705666,-0.2976103094955351,-0.1486581856010855,-0.5253248378785282
5,-0.42506696272284605,0.1247017885760375,-0.3326614078883442,-0.18470759855666796,-0.5957405512779099
6,-0.3397762086782236,0.12177908215708177,-0.36568481026381283,-0.2122455076880076,-0.6400630151312634
7,-0.2628688392511343,0.11159464366695582,-0.38912991925468127,-0.23576860076524467,-0.6739509214324632
8,-0.19319673245935348,0.1013568999126713,-0.41034579680274835,-0.25315227194151096,-0.6840986030057441
9,-0.12537260781556853,0.09480211787333405,-0.42111532977160454,-0.2716795802489866,-0.6799237638722269
10,-0.016767378760617194,0.08598017075021065,-0.42260452607689314,-0.27523482968422136,-0.6769365327141984
11,0.08368710052806119,0.07764561301424343,-0.4195444802864448,-0.27639887007515407,-0.6580772920135034
12,0.17204277923221253,0.06989524738155979,-0.41932400371697787,-0.2810445397571934,-0.6410687802182177
13,0.29461300473697366,0.060977807416044694,-0.41184471664091393,-0.28050218283186606,-0.5959072983659781
14,0.43206868688854827,0.05273298332196614,-0.3993741272672828,-0.27038796884106475,-0.5579936505564213
15,0.557621025208647,0.04538582135998521,-0.38445885686129405,-0.25569542934820977,-0.49807372414158474
16,0.6685769494495206,0.03918659268528613,-0.3650276528068528,-0.24210672256343577,-0.4350822032696761
17,0.76722875693318,0.03306022724764285,-0.34518865154629713,-0.22759507393186107,-0.3836371018494223
18,0.8472257395848725,0.02699116507302172,-0.3238904055459356,-0.2105635957910181,-0.3363606734922182
19,0.8893519563286215,0.02188860260773376,-0.3026753927080828,-0.18654163362034773,-0.28367788177455344
20,1.0553119791076166,0.017235420474482944,-0.278039961710259,-0.1657954707150503,-0.21459193648226985
21,1.1285407727544765,0.01260827761466415,-0.2548253668832943,-0.14072316303225,-0.13734588873420603
22,1.1734595380989699,0.008386475920213117,-0.22862231697749988,-0.1182382442673016,-0.0836671939112907
23,1.2407587169962055,0.0034145954781451596,-0.20128021441552238,-0.0906808832492362,-0.020840178770945805
24,1.354516778271048,0.0005565652670209564,-0.17586240800630873,-0.06861673537797708,0.023745150676561924
25,1.4253291369949157,-0.0023172142214590605,-0.14981545803899213,-0.04356206826853832,0.08950236488413463
26,1.509222170308759,-0.0038146398646560866,-0.12970534391227193,-0.02366355442378363,0.1357415901567003
27,1.608844271580233,-0.006022888792912763,-0.1071358288634549,0.005553415405651053,0.19373645394476402
28,1.6486334411574979,-0.007825823077270741,-0.08241181958635983,0.026170928861195673,0.25322734663403107
29,1.6967809637505353,-0.008445963502169312,-0.06538810431606422,0.05089928766930687,0.29322885078269484
30,1.7899862511162223,-0.009207508037664925,-0.0452529366452876,0.07434788700759522,0.3323153576404735
31,1.915359257783598,-0.009423358067198205,-0.027997519163968032,0.1005525964557394,0.36438362508569816
32,2.006391018415556,-0.009954778694353825,-0.004648562224964765,0.12909570985103724,0.4150786112970204
33,2.1027245268990113,-0.01012039544701766,0.02043922182901486,0.15383378699782715,0.43446296042788896
34,2.1963820524624964,-0.009996125509627226,0.03754822526438268,0.16944857336521402,0.4709810603995941
35,2.2509767985574243,-0.009274168406332552,0.059674094560401195,0.18522064025551224,0.5151209163999027
36,2.318862906255523,-0.008971382779280003,0.0744876397763722,0.19884261118355387,0.5614226446419461
